from,to,vote_commun,loi_commun
David   Alain,de la Verpillière   Charles,1,1
David   Alain,Pont   Jean-Pierre,0,1
David   Alain,Firmin Le Bodo   Agnès,1,1
David   Alain,Lecoq   Jean-Paul,1,1
David   Alain,Le Grip   Constance,1,1
David   Alain,Larive   Michel,1,1
David   Alain,Laqhila   Mohamed,0,1
David   Alain,Blanchet   Christophe,0,1
David   Alain,Marsaud   Sandra,0,1
David   Alain,Castellani   Michel,1,1
David   Alain,Dubois   Jacqueline,0,1
David   Alain,Khattabi   Fadila,0,1
David   Alain,Kerlogot   Yannick,0,1
David   Alain,Tanguy   Liliana,0,1
David   Alain,Ménard   Emmanuelle,1,1
David   Alain,David   Dominique,0,1
David   Alain,Kamowski   Catherine,0,1
David   Alain,Grandjean   Carole,0,1
David   Alain,Girardin   Éric,0,1
David   Alain,Di Filippo   Fabien,1,1
David   Alain,Petit   Valérie,0,1
David   Alain,Rauch   Isabelle,0,1
David   Alain,Vatin   Pierre,1,1
David   Alain,Potterie   Benoit,0,1
David   Alain,Deprez-Audebert   Marguerite,1,1
David   Alain,Minot   Maxime,1,1
David   Alain,Dumont   Pierre-Henri,1,1
David   Alain,Michels   Thierry,0,1
David   Alain,Bru   Vincent,1,1
David   Alain,Holroyd   Alexandre,0,1
David   Alain,Anglade   Pieyre-Alexandre,0,1
David   Alain,Lenne   Marion,0,1
David   Alain,Verdier-Jouclas   Marie-Christine,0,1
David   Alain,Bourlanges   Jean-Louis,1,1
David   Alain,Pouzyreff   Natalia,0,1
David   Alain,Marilossian   Jacques,0,1
David   Alain,Obono   Danièle,1,1
David   Alain,Hennion   Christine,0,1
David   Alain,Provendier   Florence,0,1
David   Alain,Fugit   Jean-Luc,0,1
David   Alain,Rebeyrotte   Rémy,0,1
de la Verpillière   Charles,Pont   Jean-Pierre,0,1
de la Verpillière   Charles,Firmin Le Bodo   Agnès,1,1
de la Verpillière   Charles,Lecoq   Jean-Paul,1,1
de la Verpillière   Charles,Le Grip   Constance,1,1
de la Verpillière   Charles,Larive   Michel,1,1
de la Verpillière   Charles,Laqhila   Mohamed,0,1
de la Verpillière   Charles,Blanchet   Christophe,0,1
de la Verpillière   Charles,Marsaud   Sandra,0,1
de la Verpillière   Charles,Castellani   Michel,1,1
de la Verpillière   Charles,Dubois   Jacqueline,0,1
de la Verpillière   Charles,Khattabi   Fadila,0,1
de la Verpillière   Charles,Kerlogot   Yannick,0,1
de la Verpillière   Charles,Tanguy   Liliana,0,1
de la Verpillière   Charles,Ménard   Emmanuelle,1,1
de la Verpillière   Charles,David   Dominique,0,1
de la Verpillière   Charles,Kamowski   Catherine,0,1
de la Verpillière   Charles,Grandjean   Carole,0,1
de la Verpillière   Charles,Girardin   Éric,0,1
de la Verpillière   Charles,Di Filippo   Fabien,1,1
de la Verpillière   Charles,Petit   Valérie,0,1
de la Verpillière   Charles,Rauch   Isabelle,0,1
de la Verpillière   Charles,Vatin   Pierre,1,1
de la Verpillière   Charles,Potterie   Benoit,0,1
de la Verpillière   Charles,Deprez-Audebert   Marguerite,1,1
de la Verpillière   Charles,Minot   Maxime,1,1
de la Verpillière   Charles,Dumont   Pierre-Henri,1,1
de la Verpillière   Charles,Michels   Thierry,0,1
de la Verpillière   Charles,Bru   Vincent,1,1
de la Verpillière   Charles,Holroyd   Alexandre,0,1
de la Verpillière   Charles,Anglade   Pieyre-Alexandre,0,1
de la Verpillière   Charles,Lenne   Marion,0,1
de la Verpillière   Charles,Verdier-Jouclas   Marie-Christine,0,1
de la Verpillière   Charles,Bourlanges   Jean-Louis,1,1
de la Verpillière   Charles,Pouzyreff   Natalia,0,1
de la Verpillière   Charles,Marilossian   Jacques,0,1
de la Verpillière   Charles,Obono   Danièle,1,1
de la Verpillière   Charles,Hennion   Christine,0,1
de la Verpillière   Charles,Provendier   Florence,0,1
de la Verpillière   Charles,Fugit   Jean-Luc,0,1
de la Verpillière   Charles,Rebeyrotte   Rémy,0,1
Pont   Jean-Pierre,Firmin Le Bodo   Agnès,0,1
Pont   Jean-Pierre,Lecoq   Jean-Paul,0,1
Pont   Jean-Pierre,Le Grip   Constance,0,1
Pont   Jean-Pierre,Larive   Michel,0,1
Pont   Jean-Pierre,Laqhila   Mohamed,1,1
Pont   Jean-Pierre,Blanchet   Christophe,1,1
Pont   Jean-Pierre,Marsaud   Sandra,1,1
Pont   Jean-Pierre,Castellani   Michel,0,1
Pont   Jean-Pierre,Dubois   Jacqueline,1,1
