from,to,vote_commun,loi_commun
Lecoq   Jean-Paul,Hetzel   Patrick,0,1
Lecoq   Jean-Paul,Untermaier   Cécile,1,1
Lecoq   Jean-Paul,Rabault   Valérie,1,1
Lecoq   Jean-Paul,Questel   Bruno,0,1
Lecoq   Jean-Paul,Bridey   Jean-Jacques,0,1
Lecoq   Jean-Paul,Peyrol   Bénédicte,0,1
Lecoq   Jean-Paul,Hérin   Danièle,0,1
Lecoq   Jean-Paul,Perea   Alain,0,1
Lecoq   Jean-Paul,Larive   Michel,0,1
Lecoq   Jean-Paul,Louis   Alexandra,0,1
Lecoq   Jean-Paul,Blanc   Anne,0,1
Lecoq   Jean-Paul,Blanchet   Christophe,0,1
Lecoq   Jean-Paul,Mesnier   Thomas,0,1
Lecoq   Jean-Paul,Castellani   Michel,0,1
Lecoq   Jean-Paul,Dubois   Jacqueline,0,1
Lecoq   Jean-Paul,Khattabi   Fadila,0,1
Lecoq   Jean-Paul,Kerlogot   Yannick,0,1
Lecoq   Jean-Paul,Clapot   Mireille,0,1
Lecoq   Jean-Paul,Mörch   Sandrine,0,1
Lecoq   Jean-Paul,Cazeneuve   Jean-René,0,1
Lecoq   Jean-Paul,Vignon   Corinne,0,1
Lecoq   Jean-Paul,Tanguy   Liliana,0,1
Lecoq   Jean-Paul,Balanant   Erwan,0,1
Lecoq   Jean-Paul,Ménard   Emmanuelle,1,1
Lecoq   Jean-Paul,Mette   Sophie,0,1
Lecoq   Jean-Paul,Ressiguier   Muriel,0,1
Lecoq   Jean-Paul,David   Dominique,0,1
Lecoq   Jean-Paul,Bachelier   Florian,0,1
Lecoq   Jean-Paul,Labaronne   Daniel,0,1
Lecoq   Jean-Paul,Jacquier-Laforge   Élodie,0,1
Lecoq   Jean-Paul,Mis   Jean-Michel,0,1
Lecoq   Jean-Paul,Kamowski   Catherine,0,1
Lecoq   Jean-Paul,Lauzzana   Michel,0,1
Lecoq   Jean-Paul,Rist   Stéphanie,0,1
Lecoq   Jean-Paul,Pradié   Aurélien,0,1
Lecoq   Jean-Paul,Dubré-Chirat   Nicole,0,1
Lecoq   Jean-Paul,Grandjean   Carole,0,1
Lecoq   Jean-Paul,Kuric   Aina,0,1
Lecoq   Jean-Paul,Perrot   Patrice,0,1
Lecoq   Jean-Paul,Minot   Maxime,0,1
Lecoq   Jean-Paul,Vichnievsky   Laurence,0,1
Lecoq   Jean-Paul,Thomas   Valérie,0,1
Lecoq   Jean-Paul,Mbaye   Jean François,0,1
Lecoq   Jean-Paul,Park   Zivka,0,1
Lecoq   Jean-Paul,Ratenon   Jean-Hugues,0,1
Lecoq   Jean-Paul,Petit   Frédéric,0,1
Lecoq   Jean-Paul,Dumas   Frédérique,0,1
Lecoq   Jean-Paul,Peu   Stéphane,1,1
Lecoq   Jean-Paul,Anato   Patrice,0,1
Lecoq   Jean-Paul,Gouffier-Cha   Guillaume,0,1
Lecoq   Jean-Paul,Riotton   Véronique,0,1
Lecoq   Jean-Paul,Le Gendre   Gilles,0,1
Lecoq   Jean-Paul,Batut   Xavier,1,1
Lecoq   Jean-Paul,Verdier-Jouclas   Marie-Christine,0,1
Lecoq   Jean-Paul,Rossi   Laurianne,0,1
Lecoq   Jean-Paul,Avia   Laetitia,0,1
Lecoq   Jean-Paul,Kokouendo   Rodrigue,0,1
Lecoq   Jean-Paul,Crouzet   Michèle,0,1
Lecoq   Jean-Paul,Guévenoux   Marie,0,1
Lecoq   Jean-Paul,Braun-Pivet   Yaël,0,1
Lecoq   Jean-Paul,de Vaucouleurs   Michèle,0,1
Lecoq   Jean-Paul,Obono   Danièle,0,1
Lecoq   Jean-Paul,Adam   Damien,0,1
Lecoq   Jean-Paul,Hennion   Christine,0,1
Lecoq   Jean-Paul,Leclabart   Jean-Claude,0,1
Lecoq   Jean-Paul,Fuchs   Bruno,1,1
Hetzel   Patrick,Untermaier   Cécile,0,1
Hetzel   Patrick,Rabault   Valérie,0,1
Hetzel   Patrick,Questel   Bruno,1,1
Hetzel   Patrick,Bridey   Jean-Jacques,1,1
Hetzel   Patrick,Peyrol   Bénédicte,1,1
Hetzel   Patrick,Hérin   Danièle,1,1
Hetzel   Patrick,Perea   Alain,1,1
Hetzel   Patrick,Larive   Michel,0,1
Hetzel   Patrick,Louis   Alexandra,1,1
Hetzel   Patrick,Blanc   Anne,1,1
Hetzel   Patrick,Blanchet   Christophe,1,1
Hetzel   Patrick,Mesnier   Thomas,1,1
Hetzel   Patrick,Castellani   Michel,0,1
Hetzel   Patrick,Dubois   Jacqueline,1,1
Hetzel   Patrick,Khattabi   Fadila,1,1
Hetzel   Patrick,Kerlogot   Yannick,1,1
Hetzel   Patrick,Clapot   Mireille,1,1
Hetzel   Patrick,Mörch   Sandrine,1,1
Hetzel   Patrick,Cazeneuve   Jean-René,1,1
Hetzel   Patrick,Vignon   Corinne,1,1
Hetzel   Patrick,Tanguy   Liliana,1,1
Hetzel   Patrick,Balanant   Erwan,1,1
Hetzel   Patrick,Ménard   Emmanuelle,0,1
Hetzel   Patrick,Mette   Sophie,1,1
Hetzel   Patrick,Ressiguier   Muriel,0,1
Hetzel   Patrick,David   Dominique,1,1
Hetzel   Patrick,Bachelier   Florian,1,1
Hetzel   Patrick,Labaronne   Daniel,1,1
Hetzel   Patrick,Jacquier-Laforge   Élodie,1,1
Hetzel   Patrick,Mis   Jean-Michel,1,1
Hetzel   Patrick,Kamowski   Catherine,1,1
Hetzel   Patrick,Lauzzana   Michel,1,1
Hetzel   Patrick,Rist   Stéphanie,1,1
Hetzel   Patrick,Pradié   Aurélien,0,1
Hetzel   Patrick,Dubré-Chirat   Nicole,1,1
Hetzel   Patrick,Grandjean   Carole,1,1
Hetzel   Patrick,Kuric   Aina,1,1
Hetzel   Patrick,Perrot   Patrice,1,1
Hetzel   Patrick,Minot   Maxime,0,1
Hetzel   Patrick,Vichnievsky   Laurence,1,1
Hetzel   Patrick,Thomas   Valérie,1,1
Hetzel   Patrick,Mbaye   Jean François,1,1
Hetzel   Patrick,Park   Zivka,1,1
Hetzel   Patrick,Ratenon   Jean-Hugues,0,1
Hetzel   Patrick,Petit   Frédéric,1,1
Hetzel   Patrick,Dumas   Frédérique,1,1
Hetzel   Patrick,Peu   Stéphane,0,1
Hetzel   Patrick,Anato   Patrice,1,1
Hetzel   Patrick,Gouffier-Cha   Guillaume,1,1
Hetzel   Patrick,Riotton   Véronique,1,1
Hetzel   Patrick,Le Gendre   Gilles,1,1
Hetzel   Patrick,Batut   Xavier,0,1
Hetzel   Patrick,Verdier-Jouclas   Marie-Christine,1,1
Hetzel   Patrick,Rossi   Laurianne,1,1
Hetzel   Patrick,Avia   Laetitia,1,1
Hetzel   Patrick,Kokouendo   Rodrigue,1,1
Hetzel   Patrick,Crouzet   Michèle,1,1
Hetzel   Patrick,Guévenoux   Marie,1,1
Hetzel   Patrick,Braun-Pivet   Yaël,1,1
Hetzel   Patrick,de Vaucouleurs   Michèle,1,1
Hetzel   Patrick,Obono   Danièle,0,1
Hetzel   Patrick,Adam   Damien,1,1
Hetzel   Patrick,Hennion   Christine,1,1
Hetzel   Patrick,Leclabart   Jean-Claude,1,1
Hetzel   Patrick,Fuchs   Bruno,0,1
Untermaier   Cécile,Rabault   Valérie,1,1
Untermaier   Cécile,Questel   Bruno,0,1
Untermaier   Cécile,Bridey   Jean-Jacques,0,1
Untermaier   Cécile,Peyrol   Bénédicte,0,1
Untermaier   Cécile,Hérin   Danièle,0,1
Untermaier   Cécile,Perea   Alain,0,1
Untermaier   Cécile,Larive   Michel,0,1
Untermaier   Cécile,Louis   Alexandra,0,1
Untermaier   Cécile,Blanc   Anne,0,1
Untermaier   Cécile,Blanchet   Christophe,0,1
Untermaier   Cécile,Mesnier   Thomas,0,1
Untermaier   Cécile,Castellani   Michel,0,1
Untermaier   Cécile,Dubois   Jacqueline,0,1
Untermaier   Cécile,Khattabi   Fadila,0,1
Untermaier   Cécile,Kerlogot   Yannick,0,1
Untermaier   Cécile,Clapot   Mireille,0,1
Untermaier   Cécile,Mörch   Sandrine,0,1
Untermaier   Cécile,Cazeneuve   Jean-René,0,1
Untermaier   Cécile,Vignon   Corinne,0,1
Untermaier   Cécile,Tanguy   Liliana,0,1
Untermaier   Cécile,Balanant   Erwan,0,1
Untermaier   Cécile,Ménard   Emmanuelle,1,1
Untermaier   Cécile,Mette   Sophie,0,1
Untermaier   Cécile,Ressiguier   Muriel,0,1
Untermaier   Cécile,David   Dominique,0,1
