from,to,vote_commun,loi_commun
de la Verpillière   Charles,Le Fur   Marc,1,1
de la Verpillière   Charles,Menuel   Gérard,1,1
de la Verpillière   Charles,Reiss   Frédéric,1,1
de la Verpillière   Charles,Bony   Jean-Yves,1,1
de la Verpillière   Charles,Rolland   Vincent,1,1
de la Verpillière   Charles,Cinieri   Dino,1,1
de la Verpillière   Charles,Pancher   Bertrand,1,1
de la Verpillière   Charles,Victory   Michèle,0,1
de la Verpillière   Charles,Blein   Yves,0,1
de la Verpillière   Charles,Bazin   Thibault,1,1
de la Verpillière   Charles,Thiériot   Jean-Louis,1,1
de la Verpillière   Charles,Ferrara   Jean-Jacques,1,1
de la Verpillière   Charles,Buffet   Marie-George,0,1
de la Verpillière   Charles,Boyer   Pascale,0,1
de la Verpillière   Charles,Valetta Ardisson   Alexandra,0,1
de la Verpillière   Charles,Pauget   Éric,1,1
de la Verpillière   Charles,Cordier   Pierre,1,1
de la Verpillière   Charles,Racon-Bouzon   Cathy,0,1
de la Verpillière   Charles,Blanchet   Christophe,0,1
de la Verpillière   Charles,Bouyx   Bertrand,0,1
de la Verpillière   Charles,Marsaud   Sandra,0,1
de la Verpillière   Charles,Ardouin   Jean-Philippe,0,1
de la Verpillière   Charles,Gérard   Raphaël,0,1
de la Verpillière   Charles,Charvier   Fannette,0,1
de la Verpillière   Charles,Kerlogot   Yannick,0,1
de la Verpillière   Charles,Meunier   Frédérique,1,1
de la Verpillière   Charles,Gipson   Séverine,0,1
de la Verpillière   Charles,Melchior   Graziella,0,1
de la Verpillière   Charles,O'Petit   Claire,0,1
de la Verpillière   Charles,Kasbarian   Guillaume,0,1
de la Verpillière   Charles,Portarrieu   Jean-François,0,1
de la Verpillière   Charles,Poulliat   Éric,0,1
de la Verpillière   Charles,Ménard   Emmanuelle,1,1
de la Verpillière   Charles,Couillard   Bérangère,0,1
de la Verpillière   Charles,Mette   Sophie,0,1
de la Verpillière   Charles,Le Bohec   Gaël,0,1
de la Verpillière   Charles,Cloarec-Le Nabour   Christine,0,1
de la Verpillière   Charles,Labaronne   Daniel,0,1
de la Verpillière   Charles,Colboc   Fabienne,0,1
de la Verpillière   Charles,Motin   Cendra,0,1
de la Verpillière   Charles,Lauzzana   Michel,0,1
de la Verpillière   Charles,Dufeu   Audrey,0,1
de la Verpillière   Charles,Janvier   Caroline,0,1
de la Verpillière   Charles,Pradié   Aurélien,1,1
de la Verpillière   Charles,Bolo   Philippe,0,1
de la Verpillière   Charles,Garcia   Laurent,0,1
de la Verpillière   Charles,Beauvais   Valérie,1,1
de la Verpillière   Charles,Belhaddad   Belkhir,0,1
de la Verpillière   Charles,Osson   Catherine,0,1
de la Verpillière   Charles,Cattelot   Anne-Laure,0,1
de la Verpillière   Charles,Thill   Agnès,1,1
de la Verpillière   Charles,Vatin   Pierre,1,1
de la Verpillière   Charles,Minot   Maxime,1,1
de la Verpillière   Charles,Descamps   Béatrice,0,1
de la Verpillière   Charles,Studer   Bruno,1,1
de la Verpillière   Charles,Thomas   Valérie,0,1
de la Verpillière   Charles,Rilhac   Cécile,0,1
de la Verpillière   Charles,Manin   Josette,0,1
de la Verpillière   Charles,Forteza   Paula,0,1
de la Verpillière   Charles,Charrière   Sylvie,0,1
de la Verpillière   Charles,Brugnera   Anne,0,1
de la Verpillière   Charles,Brocard   Blandine,0,1
de la Verpillière   Charles,Cazarian   Danièle,0,1
de la Verpillière   Charles,Pichereau   Damien,0,1
de la Verpillière   Charles,Fontenel-Personne   Pascale,0,1
de la Verpillière   Charles,Lardet   Frédérique,0,1
de la Verpillière   Charles,Naegelen   Christophe,0,1
de la Verpillière   Charles,Kuster   Brigitte,1,1
de la Verpillière   Charles,Batut   Xavier,0,1
de la Verpillière   Charles,Rupin   Pacôme,0,1
de la Verpillière   Charles,Muschotti   Cécile,0,1
de la Verpillière   Charles,Atger   Stéphanie,0,1
de la Verpillière   Charles,Calvez   Céline,0,1
de la Verpillière   Charles,Crouzet   Michèle,0,1
de la Verpillière   Charles,Guévenoux   Marie,0,1
de la Verpillière   Charles,Pouzyreff   Natalia,0,1
de la Verpillière   Charles,Buchou   Stéphane,0,1
de la Verpillière   Charles,Henriet   Pierre,0,1
de la Verpillière   Charles,Pételle   Bénédicte,0,1
de la Verpillière   Charles,Magne   Marie-Ange,0,1
de la Verpillière   Charles,Bessot Ballot   Barbara,0,1
de la Verpillière   Charles,Isaac-Sibille   Cyrille,0,1
de la Verpillière   Charles,de Courson   Charles,1,1
Le Fur   Marc,Menuel   Gérard,1,1
Le Fur   Marc,Reiss   Frédéric,1,1
Le Fur   Marc,Bony   Jean-Yves,1,1
Le Fur   Marc,Rolland   Vincent,1,1
Le Fur   Marc,Cinieri   Dino,1,1
Le Fur   Marc,Pancher   Bertrand,1,1
Le Fur   Marc,Victory   Michèle,0,1
Le Fur   Marc,Blein   Yves,0,1
Le Fur   Marc,Bazin   Thibault,1,1
Le Fur   Marc,Thiériot   Jean-Louis,1,1
Le Fur   Marc,Ferrara   Jean-Jacques,1,1
Le Fur   Marc,Buffet   Marie-George,0,1
Le Fur   Marc,Boyer   Pascale,0,1
Le Fur   Marc,Valetta Ardisson   Alexandra,0,1
Le Fur   Marc,Pauget   Éric,1,1
Le Fur   Marc,Cordier   Pierre,1,1
Le Fur   Marc,Racon-Bouzon   Cathy,0,1
Le Fur   Marc,Blanchet   Christophe,0,1
Le Fur   Marc,Bouyx   Bertrand,0,1
Le Fur   Marc,Marsaud   Sandra,0,1
Le Fur   Marc,Ardouin   Jean-Philippe,0,1
Le Fur   Marc,Gérard   Raphaël,0,1
Le Fur   Marc,Charvier   Fannette,0,1
Le Fur   Marc,Kerlogot   Yannick,0,1
Le Fur   Marc,Meunier   Frédérique,1,1
Le Fur   Marc,Gipson   Séverine,0,1
Le Fur   Marc,Melchior   Graziella,0,1
Le Fur   Marc,O'Petit   Claire,0,1
Le Fur   Marc,Kasbarian   Guillaume,0,1
Le Fur   Marc,Portarrieu   Jean-François,0,1
Le Fur   Marc,Poulliat   Éric,0,1
Le Fur   Marc,Ménard   Emmanuelle,1,1
Le Fur   Marc,Couillard   Bérangère,0,1
Le Fur   Marc,Mette   Sophie,0,1
Le Fur   Marc,Le Bohec   Gaël,0,1
Le Fur   Marc,Cloarec-Le Nabour   Christine,0,1
Le Fur   Marc,Labaronne   Daniel,0,1
Le Fur   Marc,Colboc   Fabienne,0,1
Le Fur   Marc,Motin   Cendra,0,1
Le Fur   Marc,Lauzzana   Michel,0,1
Le Fur   Marc,Dufeu   Audrey,0,1
Le Fur   Marc,Janvier   Caroline,0,1
Le Fur   Marc,Pradié   Aurélien,1,1
Le Fur   Marc,Bolo   Philippe,0,1
Le Fur   Marc,Garcia   Laurent,0,1
Le Fur   Marc,Beauvais   Valérie,1,1
Le Fur   Marc,Belhaddad   Belkhir,0,1
Le Fur   Marc,Osson   Catherine,0,1
Le Fur   Marc,Cattelot   Anne-Laure,0,1
Le Fur   Marc,Thill   Agnès,1,1
Le Fur   Marc,Vatin   Pierre,1,1
Le Fur   Marc,Minot   Maxime,1,1
Le Fur   Marc,Descamps   Béatrice,0,1
Le Fur   Marc,Studer   Bruno,1,1
Le Fur   Marc,Thomas   Valérie,0,1
Le Fur   Marc,Rilhac   Cécile,0,1
Le Fur   Marc,Manin   Josette,0,1
Le Fur   Marc,Forteza   Paula,0,1
Le Fur   Marc,Charrière   Sylvie,0,1
Le Fur   Marc,Brugnera   Anne,0,1
Le Fur   Marc,Brocard   Blandine,0,1
Le Fur   Marc,Cazarian   Danièle,0,1
Le Fur   Marc,Pichereau   Damien,0,1
Le Fur   Marc,Fontenel-Personne   Pascale,0,1
Le Fur   Marc,Lardet   Frédérique,0,1
Le Fur   Marc,Naegelen   Christophe,0,1
Le Fur   Marc,Kuster   Brigitte,1,1
Le Fur   Marc,Batut   Xavier,0,1
Le Fur   Marc,Rupin   Pacôme,0,1
Le Fur   Marc,Muschotti   Cécile,0,1
Le Fur   Marc,Atger   Stéphanie,0,1
Le Fur   Marc,Calvez   Céline,0,1
Le Fur   Marc,Crouzet   Michèle,0,1
Le Fur   Marc,Guévenoux   Marie,0,1
Le Fur   Marc,Pouzyreff   Natalia,0,1
Le Fur   Marc,Buchou   Stéphane,0,1
Le Fur   Marc,Henriet   Pierre,0,1
Le Fur   Marc,Pételle   Bénédicte,0,1
Le Fur   Marc,Magne   Marie-Ange,0,1
Le Fur   Marc,Bessot Ballot   Barbara,0,1
Le Fur   Marc,Isaac-Sibille   Cyrille,0,1
Le Fur   Marc,de Courson   Charles,1,1
Menuel   Gérard,Reiss   Frédéric,1,1
Menuel   Gérard,Bony   Jean-Yves,1,1
Menuel   Gérard,Rolland   Vincent,1,1
Menuel   Gérard,Cinieri   Dino,1,1
Menuel   Gérard,Pancher   Bertrand,1,1
Menuel   Gérard,Victory   Michèle,0,1
Menuel   Gérard,Blein   Yves,0,1
Menuel   Gérard,Bazin   Thibault,1,1
Menuel   Gérard,Thiériot   Jean-Louis,1,1
Menuel   Gérard,Ferrara   Jean-Jacques,1,1
Menuel   Gérard,Buffet   Marie-George,0,1
Menuel   Gérard,Boyer   Pascale,0,1
Menuel   Gérard,Valetta Ardisson   Alexandra,0,1
Menuel   Gérard,Pauget   Éric,1,1
Menuel   Gérard,Cordier   Pierre,1,1
Menuel   Gérard,Racon-Bouzon   Cathy,0,1
Menuel   Gérard,Blanchet   Christophe,0,1
Menuel   Gérard,Bouyx   Bertrand,0,1
Menuel   Gérard,Marsaud   Sandra,0,1
Menuel   Gérard,Ardouin   Jean-Philippe,0,1
Menuel   Gérard,Gérard   Raphaël,0,1
Menuel   Gérard,Charvier   Fannette,0,1
Menuel   Gérard,Kerlogot   Yannick,0,1
Menuel   Gérard,Meunier   Frédérique,1,1
Menuel   Gérard,Gipson   Séverine,0,1
Menuel   Gérard,Melchior   Graziella,0,1
Menuel   Gérard,O'Petit   Claire,0,1
Menuel   Gérard,Kasbarian   Guillaume,0,1
Menuel   Gérard,Portarrieu   Jean-François,0,1
Menuel   Gérard,Poulliat   Éric,0,1
Menuel   Gérard,Ménard   Emmanuelle,1,1
Menuel   Gérard,Couillard   Bérangère,0,1
Menuel   Gérard,Mette   Sophie,0,1
Menuel   Gérard,Le Bohec   Gaël,0,1
Menuel   Gérard,Cloarec-Le Nabour   Christine,0,1
Menuel   Gérard,Labaronne   Daniel,0,1
