from,to,vote_commun,loi_commun
Habib   David,Lassalle   Jean,1,1
Habib   David,Pont   Jean-Pierre,0,1
Habib   David,Gosselin   Philippe,0,1
Habib   David,Favennec-Bécot   Yannick,1,1
Habib   David,Zumkeller   Michel,1,1
Habib   David,Diard   Éric,0,1
Habib   David,Firmin Le Bodo   Agnès,1,1
Habib   David,Vigier   Philippe,1,1
Habib   David,Dalloz   Marie-Christine,1,1
Habib   David,Pinel   Sylvia,1,1
Habib   David,Clément   Jean-Michel,1,1
Habib   David,Falorni   Olivier,1,1
Habib   David,Potier   Dominique,1,1
Habib   David,Dubié   Jeanine,1,1
Habib   David,Untermaier   Cécile,1,1
Habib   David,Bazin   Thibault,0,1
Habib   David,Questel   Bruno,0,1
Habib   David,Dupont   Stella,0,1
Habib   David,Mazars   Stéphane,0,1
Habib   David,Bagarry   Delphine,0,1
Habib   David,Hérin   Danièle,0,1
Habib   David,Larive   Michel,0,1
Habib   David,Bazin-Malgras   Valérie,1,1
Habib   David,Louis   Alexandra,0,1
Habib   David,Dharréville   Pierre,0,1
Habib   David,Racon-Bouzon   Cathy,0,1
Habib   David,Marsaud   Sandra,0,1
Habib   David,Castellani   Michel,1,1
Habib   David,Acquaviva   Jean-Félix,1,1
Habib   David,Khattabi   Fadila,0,1
Habib   David,de Courson   Yolaine,0,1
Habib   David,Kerlogot   Yannick,0,1
Habib   David,Delpon   Michel,0,1
Habib   David,Tamarelle-Verhaeghe   Marie,0,1
Habib   David,Cellier   Anthony,0,1
Habib   David,Nadot   Sébastien,0,1
Habib   David,Vignon   Corinne,0,1
Habib   David,Tanguy   Liliana,0,1
Habib   David,Balanant   Erwan,0,1
Habib   David,Prud'homme   Loïc,0,1
Habib   David,Euzet   Christophe,0,1
Habib   David,Dubost   Coralie,0,1
Habib   David,Eliaou   Jean-François,0,1
Habib   David,Maillart-Méhaignerie   Laurence,0,1
Habib   David,Chalas   Émilie,0,1
Habib   David,Labaronne   Daniel,0,1
Habib   David,Abadie   Caroline,0,1
Habib   David,Meynier-Millefert   Marjolaine,0,1
Habib   David,Causse   Lionel,0,1
Habib   David,Mis   Jean-Michel,0,1
Habib   David,Kamowski   Catherine,0,1
Habib   David,Masséglia   Denis,0,1
Habib   David,Dubré-Chirat   Nicole,0,1
Habib   David,Grandjean   Carole,0,1
Habib   David,Kuric   Aina,0,1
Habib   David,Girardin   Éric,0,1
Habib   David,Magnier   Lise,1,1
Habib   David,Zannier   Hélène,0,1
Habib   David,Trisse   Nicole,0,1
Habib   David,Bernalicis   Ugo,0,1
Habib   David,Houbron   Dimitri,0,1
Habib   David,Bruneel   Alain,1,1
Habib   David,Goulet   Perrine,0,1
Habib   David,Sempastous   Jean-Bernard,0,1
Habib   David,Gayte   Laurence,0,1
Habib   David,Testé   Stéphane,0,1
Habib   David,Rilhac   Cécile,0,1
Habib   David,Moutchou   Naïma,0,1
Habib   David,Park   Zivka,0,1
Habib   David,Anglade   Pieyre-Alexandre,0,1
Habib   David,Corbière   Alexis,0,1
Habib   David,Vuilletet   Guillaume,0,1
Habib   David,Gouffier-Cha   Guillaume,0,1
Habib   David,Riotton   Véronique,0,1
Habib   David,Lardet   Frédérique,0,1
Habib   David,Lenne   Marion,0,1
Habib   David,Roseren   Xavier,0,1
