from,to,vote_commun,loi_commun
Ciotti   Éric,Boudié   Florent,1,1
Ciotti   Éric,Errante   Sophie,1,1
Ciotti   Éric,Questel   Bruno,1,1
Ciotti   Éric,Dupont   Stella,0,1
Ciotti   Éric,Maillard   Sylvain,1,1
Ciotti   Éric,Givernet   Olga,1,1
Ciotti   Éric,Boyer   Pascale,1,1
Ciotti   Éric,Blanchet   Christophe,1,1
Ciotti   Éric,Essayan   Nadia,0,1
Ciotti   Éric,Kervran   Loïc,1,1
Ciotti   Éric,Mesnier   Thomas,1,1
Ciotti   Éric,Gérard   Raphaël,1,1
Ciotti   Éric,Charvier   Fannette,1,1
Ciotti   Éric,Gipson   Séverine,1,1
Ciotti   Éric,Larsonneur   Jean-Charles,1,1
Ciotti   Éric,Chapelier   Annie,1,1
Ciotti   Éric,Mörch   Sandrine,0,1
Ciotti   Éric,Nadot   Sébastien,0,1
Ciotti   Éric,Ménard   Emmanuelle,1,1
Ciotti   Éric,Ressiguier   Muriel,0,1
Ciotti   Éric,Eliaou   Jean-François,1,1
Ciotti   Éric,Chalas   Émilie,1,1
Ciotti   Éric,Motin   Cendra,1,1
Ciotti   Éric,Jacquier-Laforge   Élodie,0,1
Ciotti   Éric,Faure-Muntian   Valéria,1,1
Ciotti   Éric,Kamowski   Catherine,1,1
Ciotti   Éric,Lauzzana   Michel,1,1
Ciotti   Éric,Haury   Yannick,1,1
Ciotti   Éric,Amadou   Aude,0,1
Ciotti   Éric,Krimi   Sonia,0,1
Ciotti   Éric,Kuric   Aina,0,1
Ciotti   Éric,Damaisin   Olivier,1,1
Ciotti   Éric,Zannier   Hélène,0,1
Ciotti   Éric,Mendes   Ludovic,1,1
Ciotti   Éric,Osson   Catherine,1,1
Ciotti   Éric,De Temmerman   Jennifer,0,1
Ciotti   Éric,Thill   Agnès,1,1
Ciotti   Éric,Dumont   Pierre-Henri,1,1
Ciotti   Éric,Thomas   Valérie,1,1
Ciotti   Éric,Panot   Mathilde,0,1
Ciotti   Éric,Rilhac   Cécile,0,1
Ciotti   Éric,Moutchou   Naïma,1,1
Ciotti   Éric,Manin   Josette,0,1
Ciotti   Éric,Petit   Frédéric,1,1
Ciotti   Éric,Petit   Maud,0,1
Ciotti   Éric,Brugnera   Anne,1,1
Ciotti   Éric,Gauvain   Raphaël,1,1
Ciotti   Éric,Lenne   Marion,1,1
Ciotti   Éric,Terlier   Jean,1,1
Ciotti   Éric,Rupin   Pacôme,1,1
Ciotti   Éric,Guerel   Émilie,1,1
Ciotti   Éric,Guévenoux   Marie,1,1
Ciotti   Éric,Raphan   Pierre-Alain,0,1
Ciotti   Éric,Faucillon   Elsa,0,1
Ciotti   Éric,Lorho   Marie-France,1,1
Ciotti   Éric,Obono   Danièle,0,1
Ciotti   Éric,Millienne   Bruno,1,1
Ciotti   Éric,Fuchs   Bruno,0,1
Ciotti   Éric,Rudigoz   Thomas,1,1
Ciotti   Éric,Julien-Laferrière   Hubert,1,1
Ciotti   Éric,Dirx   Benjamin,1,1
Ciotti   Éric,Rebeyrotte   Rémy,1,1
Boudié   Florent,Errante   Sophie,1,1
Boudié   Florent,Questel   Bruno,1,1
Boudié   Florent,Dupont   Stella,0,1
Boudié   Florent,Maillard   Sylvain,1,1
Boudié   Florent,Givernet   Olga,1,1
Boudié   Florent,Boyer   Pascale,1,1
Boudié   Florent,Blanchet   Christophe,1,1
Boudié   Florent,Essayan   Nadia,0,1
Boudié   Florent,Kervran   Loïc,1,1
Boudié   Florent,Mesnier   Thomas,1,1
Boudié   Florent,Gérard   Raphaël,1,1
Boudié   Florent,Charvier   Fannette,1,1
Boudié   Florent,Gipson   Séverine,1,1
Boudié   Florent,Larsonneur   Jean-Charles,1,1
Boudié   Florent,Chapelier   Annie,1,1
Boudié   Florent,Mörch   Sandrine,0,1
Boudié   Florent,Nadot   Sébastien,0,1
Boudié   Florent,Ménard   Emmanuelle,1,1
Boudié   Florent,Ressiguier   Muriel,0,1
Boudié   Florent,Eliaou   Jean-François,1,1
Boudié   Florent,Chalas   Émilie,1,1
Boudié   Florent,Motin   Cendra,1,1
Boudié   Florent,Jacquier-Laforge   Élodie,0,1
Boudié   Florent,Faure-Muntian   Valéria,1,1
Boudié   Florent,Kamowski   Catherine,1,1
Boudié   Florent,Lauzzana   Michel,1,1
Boudié   Florent,Haury   Yannick,1,1
Boudié   Florent,Amadou   Aude,0,1
Boudié   Florent,Krimi   Sonia,0,1
Boudié   Florent,Kuric   Aina,0,1
Boudié   Florent,Damaisin   Olivier,1,1
Boudié   Florent,Zannier   Hélène,0,1
Boudié   Florent,Mendes   Ludovic,1,1
Boudié   Florent,Osson   Catherine,1,1
Boudié   Florent,De Temmerman   Jennifer,0,1
Boudié   Florent,Thill   Agnès,1,1
Boudié   Florent,Dumont   Pierre-Henri,1,1
Boudié   Florent,Thomas   Valérie,1,1
Boudié   Florent,Panot   Mathilde,0,1
Boudié   Florent,Rilhac   Cécile,0,1
Boudié   Florent,Moutchou   Naïma,1,1
Boudié   Florent,Manin   Josette,0,1
Boudié   Florent,Petit   Frédéric,1,1
Boudié   Florent,Petit   Maud,0,1
Boudié   Florent,Brugnera   Anne,1,1
Boudié   Florent,Gauvain   Raphaël,1,1
Boudié   Florent,Lenne   Marion,1,1
Boudié   Florent,Terlier   Jean,1,1
Boudié   Florent,Rupin   Pacôme,1,1
Boudié   Florent,Guerel   Émilie,1,1
Boudié   Florent,Guévenoux   Marie,1,1
Boudié   Florent,Raphan   Pierre-Alain,0,1
Boudié   Florent,Faucillon   Elsa,0,1
Boudié   Florent,Lorho   Marie-France,1,1
Boudié   Florent,Obono   Danièle,0,1
Boudié   Florent,Millienne   Bruno,1,1
Boudié   Florent,Fuchs   Bruno,0,1
Boudié   Florent,Rudigoz   Thomas,1,1
Boudié   Florent,Julien-Laferrière   Hubert,1,1
Boudié   Florent,Dirx   Benjamin,1,1
Boudié   Florent,Rebeyrotte   Rémy,1,1
Errante   Sophie,Questel   Bruno,1,1
Errante   Sophie,Dupont   Stella,0,1
Errante   Sophie,Maillard   Sylvain,1,1
Errante   Sophie,Givernet   Olga,1,1
Errante   Sophie,Boyer   Pascale,1,1
Errante   Sophie,Blanchet   Christophe,1,1
Errante   Sophie,Essayan   Nadia,0,1
Errante   Sophie,Kervran   Loïc,1,1
Errante   Sophie,Mesnier   Thomas,1,1
Errante   Sophie,Gérard   Raphaël,1,1
Errante   Sophie,Charvier   Fannette,1,1
Errante   Sophie,Gipson   Séverine,1,1
Errante   Sophie,Larsonneur   Jean-Charles,1,1
Errante   Sophie,Chapelier   Annie,1,1
Errante   Sophie,Mörch   Sandrine,0,1
Errante   Sophie,Nadot   Sébastien,0,1
Errante   Sophie,Ménard   Emmanuelle,1,1
Errante   Sophie,Ressiguier   Muriel,0,1
Errante   Sophie,Eliaou   Jean-François,1,1
Errante   Sophie,Chalas   Émilie,1,1
Errante   Sophie,Motin   Cendra,1,1
Errante   Sophie,Jacquier-Laforge   Élodie,0,1
Errante   Sophie,Faure-Muntian   Valéria,1,1
Errante   Sophie,Kamowski   Catherine,1,1
Errante   Sophie,Lauzzana   Michel,1,1
Errante   Sophie,Haury   Yannick,1,1
Errante   Sophie,Amadou   Aude,0,1
Errante   Sophie,Krimi   Sonia,0,1
Errante   Sophie,Kuric   Aina,0,1
