from,to,vote_commun,loi_commun
David   Alain,Reiss   Frédéric,1,1
David   Alain,Chassaigne   André,1,1
David   Alain,Ciotti   Éric,1,1
David   Alain,Benoit   Thierry,1,1
David   Alain,Juanico   Régis,1,1
David   Alain,Karamanli   Marietta,1,1
David   Alain,Pinel   Sylvia,1,1
David   Alain,Saulignac   Hervé,1,1
David   Alain,Brindeau   Pascal,1,1
David   Alain,Rouillard   Gwendal,0,1
David   Alain,Maquet   Emmanuel,1,1
David   Alain,Marleix   Olivier,1,1
David   Alain,Pellois   Hervé,0,1
David   Alain,Dubié   Jeanine,1,1
David   Alain,Untermaier   Cécile,1,1
David   Alain,Hérin   Danièle,0,1
David   Alain,Perea   Alain,0,1
David   Alain,Zulesi   Jean-Marc,0,1
David   Alain,Laqhila   Mohamed,0,1
David   Alain,Blanc   Anne,0,1
David   Alain,Castellani   Michel,1,1
David   Alain,Charvier   Fannette,0,1
David   Alain,Khattabi   Fadila,0,1
David   Alain,Kerlogot   Yannick,0,1
David   Alain,Cubertafon   Jean-Pierre,0,1
David   Alain,Thourot   Alice,0,1
David   Alain,Sommer   Denis,0,1
David   Alain,Vignon   Corinne,0,1
David   Alain,Tanguy   Liliana,0,1
David   Alain,Poulliat   Éric,0,1
David   Alain,Ménard   Emmanuelle,1,1
David   Alain,Euzet   Christophe,0,1
David   Alain,Dubost   Coralie,0,1
David   Alain,Chalas   Émilie,0,1
David   Alain,Labaronne   Daniel,0,1
David   Alain,Motin   Cendra,0,1
David   Alain,Brulebois   Danielle,0,1
David   Alain,Vallaud   Boris,1,1
David   Alain,Kamowski   Catherine,0,1
David   Alain,Rist   Stéphanie,0,1
David   Alain,Dubré-Chirat   Nicole,0,1
David   Alain,Sorre   Bertrand,0,1
David   Alain,Kuric   Aina,0,1
David   Alain,Fiat   Caroline,1,1
David   Alain,Cariou   Émilie,0,1
David   Alain,Bernalicis   Ugo,1,1
David   Alain,Deprez-Audebert   Marguerite,0,1
David   Alain,Duvergé   Bruno,0,1
David   Alain,Roussel   Fabien,1,1
David   Alain,Vichnievsky   Laurence,0,1
David   Alain,Bru   Vincent,0,1
David   Alain,Grau   Romain,0,1
David   Alain,Gayte   Laurence,0,1
David   Alain,Testé   Stéphane,0,1
David   Alain,Descrozaille   Frédéric,0,1
David   Alain,Serva   Olivier,0,1
David   Alain,El Guerrab   M'jid,0,1
David   Alain,Lorion   David,1,1
David   Alain,Holroyd   Alexandre,0,1
David   Alain,Peu   Stéphane,1,1
David   Alain,Gouffier-Cha   Guillaume,0,1
David   Alain,Lenne   Marion,0,1
David   Alain,Verdier-Jouclas   Marie-Christine,0,1
David   Alain,Michel-Kleisbauer   Philippe,0,1
David   Alain,Guerel   Émilie,0,1
David   Alain,Matras   Fabien,0,1
David   Alain,Boucard   Ian,1,1
David   Alain,Braun-Pivet   Yaël,0,1
David   Alain,Pouzyreff   Natalia,0,1
David   Alain,Houlié   Sacha,0,1
David   Alain,Beaudouin-Hubiere   Sophie,0,1
David   Alain,Leclabart   Jean-Claude,0,1
David   Alain,Fugit   Jean-Luc,0,1
David   Alain,Dirx   Benjamin,0,1
David   Alain,Cherpion   Gérard,1,1
Reiss   Frédéric,Chassaigne   André,1,1
Reiss   Frédéric,Ciotti   Éric,1,1
Reiss   Frédéric,Benoit   Thierry,1,1
Reiss   Frédéric,Juanico   Régis,1,1
Reiss   Frédéric,Karamanli   Marietta,1,1
Reiss   Frédéric,Pinel   Sylvia,1,1
Reiss   Frédéric,Saulignac   Hervé,1,1
Reiss   Frédéric,Brindeau   Pascal,1,1
Reiss   Frédéric,Rouillard   Gwendal,0,1
Reiss   Frédéric,Maquet   Emmanuel,1,1
Reiss   Frédéric,Marleix   Olivier,1,1
Reiss   Frédéric,Pellois   Hervé,0,1
Reiss   Frédéric,Dubié   Jeanine,1,1
Reiss   Frédéric,Untermaier   Cécile,1,1
Reiss   Frédéric,Hérin   Danièle,0,1
Reiss   Frédéric,Perea   Alain,0,1
Reiss   Frédéric,Zulesi   Jean-Marc,0,1
Reiss   Frédéric,Laqhila   Mohamed,0,1
Reiss   Frédéric,Blanc   Anne,0,1
Reiss   Frédéric,Castellani   Michel,1,1
Reiss   Frédéric,Charvier   Fannette,0,1
Reiss   Frédéric,Khattabi   Fadila,0,1
Reiss   Frédéric,Kerlogot   Yannick,0,1
Reiss   Frédéric,Cubertafon   Jean-Pierre,0,1
Reiss   Frédéric,Thourot   Alice,0,1
Reiss   Frédéric,Sommer   Denis,0,1
Reiss   Frédéric,Vignon   Corinne,0,1
Reiss   Frédéric,Tanguy   Liliana,0,1
Reiss   Frédéric,Poulliat   Éric,0,1
Reiss   Frédéric,Ménard   Emmanuelle,1,1
Reiss   Frédéric,Euzet   Christophe,0,1
Reiss   Frédéric,Dubost   Coralie,0,1
