from,to,vote_commun,loi_commun
Habib   David,Jacob   Christian,0,1
Habib   David,Le Fur   Marc,0,1
Habib   David,Herth   Antoine,0,1
Habib   David,Cinieri   Dino,0,1
Habib   David,Firmin Le Bodo   Agnès,0,1
Habib   David,Descoeur   Vincent,1,1
Habib   David,Dalloz   Marie-Christine,1,1
Habib   David,Pancher   Bertrand,0,1
Habib   David,Lecoq   Jean-Paul,1,1
Habib   David,Pinel   Sylvia,1,1
Habib   David,Le Grip   Constance,0,1
Habib   David,Villiers   André,0,1
Habib   David,Bricout   Jean-Louis,1,1
Habib   David,Krabal   Jacques,0,1
Habib   David,Alauzet   Éric,0,1
Habib   David,Errante   Sophie,0,1
Habib   David,Louwagie   Véronique,0,1
Habib   David,Pires Beaune   Christine,1,1
Habib   David,Dubié   Jeanine,1,1
Habib   David,Rabault   Valérie,1,1
Habib   David,Bazin   Thibault,0,1
Habib   David,Questel   Bruno,0,1
Habib   David,Valentin   Isabelle,0,1
Habib   David,Dupont   Stella,0,1
Habib   David,Dive   Julien,0,1
Habib   David,Maillard   Sylvain,0,1
Habib   David,Dufrègne   Jean-Paul,1,1
Habib   David,Peyrol   Bénédicte,0,1
Habib   David,Bono-Vandorme   Aude,0,1
Habib   David,Brun   Fabrice,0,1
Habib   David,Dharréville   Pierre,1,1
Habib   David,Petel   Anne-Laurence,0,1
Habib   David,Zulesi   Jean-Marc,0,1
Habib   David,Laqhila   Mohamed,0,1
Habib   David,Blanchet   Christophe,0,1
Habib   David,Bouyx   Bertrand,0,1
Habib   David,Dubois   Jacqueline,0,1
Habib   David,Chassaing   Philippe,0,1
Habib   David,Chapelier   Annie,0,1
Habib   David,Cazeneuve   Jean-René,0,1
Habib   David,Toutut-Picard   Élisabeth,0,1
Habib   David,Ménard   Emmanuelle,0,1
Habib   David,Mirallès   Patricia,0,1
Habib   David,Jolivet   François,0,1
Habib   David,Labaronne   Daniel,0,1
Habib   David,Démoulin   Nicolas,0,1
Habib   David,Motin   Cendra,0,1
Habib   David,Causse   Lionel,0,1
Habib   David,Faure-Muntian   Valéria,0,1
Habib   David,Sorre   Bertrand,0,1
Habib   David,Osson   Catherine,0,1
Habib   David,Goulet   Perrine,0,1
Habib   David,Thill   Agnès,0,1
Habib   David,Bureau-Bonnard   Carole,0,1
Habib   David,Minot   Maxime,0,1
Habib   David,Roussel   Fabien,1,1
Habib   David,Mattei   Jean-Paul,0,1
Habib   David,Sempastous   Jean-Bernard,0,1
Habib   David,Thomas   Valérie,0,1
Habib   David,Testé   Stéphane,0,1
Habib   David,Genetet   Anne,0,1
Habib   David,Ratenon   Jean-Hugues,1,1
Habib   David,Holroyd   Alexandre,0,1
Habib   David,Coquerel   Éric,1,1
Habib   David,Peu   Stéphane,1,1
Habib   David,Gouffier-Cha   Guillaume,0,1
Habib   David,Brugnera   Anne,0,1
Habib   David,Bonnivard   Émilie,0,1
Habib   David,Lenne   Marion,0,1
Habib   David,Le Gendre   Gilles,0,1
Habib   David,Verdier-Jouclas   Marie-Christine,0,1
Habib   David,Bourlanges   Jean-Louis,0,1
Habib   David,Mauborgne   Sereine,0,1
Habib   David,Michel-Kleisbauer   Philippe,0,1
Habib   David,Calvez   Céline,0,1
Habib   David,Crouzet   Michèle,0,1
Habib   David,Barrot   Jean-Noël,0,1
Habib   David,Guévenoux   Marie,0,1
Habib   David,Henriet   Pierre,0,1
Habib   David,Hennion   Christine,0,1
Habib   David,Villani   Cédric,0,1
Habib   David,Wonner   Martine,0,1
Habib   David,Dirx   Benjamin,0,1
Habib   David,Corneloup   Josiane,1,1
Habib   David,Rebeyrotte   Rémy,0,1
Habib   David,de Courson   Charles,0,1
Jacob   Christian,Le Fur   Marc,1,1
Jacob   Christian,Herth   Antoine,1,1
Jacob   Christian,Cinieri   Dino,0,1
Jacob   Christian,Firmin Le Bodo   Agnès,1,1
Jacob   Christian,Descoeur   Vincent,0,1
Jacob   Christian,Dalloz   Marie-Christine,0,1
Jacob   Christian,Pancher   Bertrand,0,1
Jacob   Christian,Lecoq   Jean-Paul,0,1
Jacob   Christian,Pinel   Sylvia,0,1
Jacob   Christian,Le Grip   Constance,1,1
Jacob   Christian,Villiers   André,1,1
Jacob   Christian,Bricout   Jean-Louis,0,1
Jacob   Christian,Krabal   Jacques,1,1
Jacob   Christian,Alauzet   Éric,1,1
Jacob   Christian,Errante   Sophie,1,1
Jacob   Christian,Louwagie   Véronique,1,1
Jacob   Christian,Pires Beaune   Christine,0,1
Jacob   Christian,Dubié   Jeanine,0,1
Jacob   Christian,Rabault   Valérie,0,1
Jacob   Christian,Bazin   Thibault,1,1
Jacob   Christian,Questel   Bruno,1,1
Jacob   Christian,Valentin   Isabelle,0,1
Jacob   Christian,Dupont   Stella,1,1
