from,to,vote_commun,loi_commun
David   Alain,Pont   Jean-Pierre,1,1
David   Alain,Reiss   Frédéric,0,1
David   Alain,Gosselin   Philippe,0,1
David   Alain,Favennec-Bécot   Yannick,1,1
David   Alain,de Ganay   Claude,0,1
David   Alain,Breton   Xavier,0,1
David   Alain,Descoeur   Vincent,0,1
David   Alain,Vigier   Philippe,1,1
David   Alain,Dalloz   Marie-Christine,0,1
David   Alain,Juanico   Régis,1,1
David   Alain,Lecoq   Jean-Paul,1,1
David   Alain,Pinel   Sylvia,1,1
David   Alain,Victory   Michèle,1,1
David   Alain,Battistel   Marie-Noëlle,1,1
David   Alain,Pupponi   François,1,1
David   Alain,Dumas   Françoise,1,1
David   Alain,Molac   Paul,1,1
David   Alain,Pires Beaune   Christine,1,1
David   Alain,Dubié   Jeanine,1,1
David   Alain,Hetzel   Patrick,0,1
David   Alain,Tolmont   Sylvie,1,1
David   Alain,Bothorel   Éric,1,1
David   Alain,Valentin   Isabelle,0,1
David   Alain,Lang   Anne-Christine,1,1
David   Alain,Larive   Michel,1,1
David   Alain,Dharréville   Pierre,1,1
David   Alain,Racon-Bouzon   Cathy,1,1
David   Alain,Zulesi   Jean-Marc,1,1
David   Alain,Essayan   Nadia,1,1
David   Alain,Marsaud   Sandra,1,1
David   Alain,Gérard   Raphaël,1,1
David   Alain,Dubois   Jacqueline,1,1
David   Alain,Charvier   Fannette,1,1
David   Alain,Kerlogot   Yannick,1,1
David   Alain,Anthoine   Emmanuelle,0,1
David   Alain,Tamarelle-Verhaeghe   Marie,1,1
David   Alain,Le Meur   Annaïg,1,1
David   Alain,Le Gac   Didier,1,1
David   Alain,Chapelier   Annie,1,1
David   Alain,Mörch   Sandrine,1,1
David   Alain,Berta   Philippe,1,1
David   Alain,Ménard   Emmanuelle,0,1
David   Alain,Mette   Sophie,1,1
David   Alain,Hammerer   Véronique,1,1
David   Alain,Mirallès   Patricia,1,1
David   Alain,Le Bohec   Gaël,1,1
David   Alain,Colas-Roy   Jean-Charles,1,1
David   Alain,Bachelier   Florian,1,1
David   Alain,Colboc   Fabienne,1,1
David   Alain,Thillaye   Sabine,1,1
David   Alain,Motin   Cendra,1,1
David   Alain,Limon   Monique,1,1
David   Alain,Brulebois   Danielle,1,1
David   Alain,Freschi   Alexandre,1,1
David   Alain,Bolo   Philippe,1,1
David   Alain,Sorre   Bertrand,1,1
David   Alain,Bannier   Géraldine,1,1
David   Alain,Hammouche   Brahim,1,1
David   Alain,Pahun   Jimmy,1,1
David   Alain,Trisse   Nicole,1,1
David   Alain,Perrot   Patrice,1,1
David   Alain,Liso   Brigitte,1,1
David   Alain,Thill   Agnès,1,1
David   Alain,Deprez-Audebert   Marguerite,1,1
