from,to,vote_commun,loi_commun
Grelier   Jean-Carles,Firmin Le Bodo   Agnès,1,1
Grelier   Jean-Carles,Lagarde   Jean-Christophe,1,1
Grelier   Jean-Carles,Benoit   Thierry,1,1
Grelier   Jean-Carles,Biémouret   Gisèle,1,1
Grelier   Jean-Carles,Aviragnet   Joël,1,1
Grelier   Jean-Carles,Christophe   Paul,1,1
Grelier   Jean-Carles,Becht   Olivier,1,1
Grelier   Jean-Carles,Habib   Meyer,1,1
Grelier   Jean-Carles,Sage   Maina,1,1
Grelier   Jean-Carles,Robert   Mireille,0,1
Grelier   Jean-Carles,Dharréville   Pierre,1,1
Grelier   Jean-Carles,Martin   Didier,0,1
Grelier   Jean-Carles,de Lavergne   Célia,0,1
Grelier   Jean-Carles,Le Meur   Annaïg,0,1
Grelier   Jean-Carles,Cazeneuve   Jean-René,0,1
Grelier   Jean-Carles,Fabre   Catherine,0,1
Grelier   Jean-Carles,Hammerer   Véronique,0,1
Grelier   Jean-Carles,Cloarec-Le Nabour   Christine,0,1
Grelier   Jean-Carles,Motin   Cendra,0,1
Grelier   Jean-Carles,Causse   Lionel,0,1
Grelier   Jean-Carles,Borowczyk   Julien,0,1
Grelier   Jean-Carles,Rist   Stéphanie,0,1
Grelier   Jean-Carles,Kuric   Aina,0,1
Grelier   Jean-Carles,Magnier   Lise,1,1
Grelier   Jean-Carles,Damaisin   Olivier,0,1
Grelier   Jean-Carles,Fiat   Caroline,1,1
Grelier   Jean-Carles,Paluszkiewicz   Xavier,0,1
Grelier   Jean-Carles,Descamps   Béatrice,1,1
Grelier   Jean-Carles,Michels   Thierry,0,1
Grelier   Jean-Carles,Park   Zivka,0,1
Grelier   Jean-Carles,Ratenon   Jean-Hugues,1,1
Grelier   Jean-Carles,Dumas   Frédérique,1,1
Grelier   Jean-Carles,Gaillot   Albane,0,1
Grelier   Jean-Carles,Ramadier   Alain,1,1
Grelier   Jean-Carles,Naegelen   Christophe,1,1
Grelier   Jean-Carles,Lemoine   Patricia,1,1
Grelier   Jean-Carles,Calvez   Céline,0,1
Grelier   Jean-Carles,Guerel   Émilie,0,1
Grelier   Jean-Carles,Piron   Béatrice,0,1
Grelier   Jean-Carles,Raphan   Pierre-Alain,0,1
Grelier   Jean-Carles,de Vaucouleurs   Michèle,1,1
Grelier   Jean-Carles,Millienne   Bruno,1,1
Grelier   Jean-Carles,Buchou   Stéphane,0,1
Grelier   Jean-Carles,Leguille-Balloy   Martine,0,1
Grelier   Jean-Carles,Hennion   Christine,0,1
Grelier   Jean-Carles,Vidal   Annie,0,1
Grelier   Jean-Carles,Corneloup   Josiane,1,1
Grelier   Jean-Carles,Rebeyrotte   Rémy,0,1
Grelier   Jean-Carles,Brial   Sylvain,1,1
Grelier   Jean-Carles,Cherpion   Gérard,1,1
Firmin Le Bodo   Agnès,Lagarde   Jean-Christophe,1,1
Firmin Le Bodo   Agnès,Benoit   Thierry,1,1
Firmin Le Bodo   Agnès,Biémouret   Gisèle,1,1
Firmin Le Bodo   Agnès,Aviragnet   Joël,1,1
Firmin Le Bodo   Agnès,Christophe   Paul,1,1
Firmin Le Bodo   Agnès,Becht   Olivier,1,1
Firmin Le Bodo   Agnès,Habib   Meyer,1,1
Firmin Le Bodo   Agnès,Sage   Maina,1,1
Firmin Le Bodo   Agnès,Robert   Mireille,0,1
Firmin Le Bodo   Agnès,Dharréville   Pierre,1,1
Firmin Le Bodo   Agnès,Martin   Didier,0,1
Firmin Le Bodo   Agnès,de Lavergne   Célia,0,1
Firmin Le Bodo   Agnès,Le Meur   Annaïg,0,1
Firmin Le Bodo   Agnès,Cazeneuve   Jean-René,0,1
Firmin Le Bodo   Agnès,Fabre   Catherine,0,1
