from,to,vote_commun,loi_commun
David   Alain,Pont   Jean-Pierre,1,1
David   Alain,Reiss   Frédéric,0,1
David   Alain,Cinieri   Dino,0,1
David   Alain,Breton   Xavier,0,1
David   Alain,Ciotti   Éric,0,1
David   Alain,Vigier   Philippe,0,1
David   Alain,Benoit   Thierry,0,1
David   Alain,Juanico   Régis,1,1
David   Alain,Lecoq   Jean-Paul,1,1
David   Alain,Pinel   Sylvia,1,1
David   Alain,Bouchet   Jean-Claude,0,1
David   Alain,Victory   Michèle,1,1
David   Alain,Pupponi   François,1,1
David   Alain,Alauzet   Éric,1,1
David   Alain,Genevard   Annie,0,1
David   Alain,Daniel   Yves,1,1
David   Alain,Potier   Dominique,1,1
David   Alain,Molac   Paul,1,1
David   Alain,Dubié   Jeanine,1,1
David   Alain,Hetzel   Patrick,0,1
David   Alain,Tolmont   Sylvie,1,1
David   Alain,Aubert   Julien,0,1
David   Alain,Nilor   Jean-Philippe,1,1
David   Alain,Bothorel   Éric,1,1
David   Alain,Bazin   Thibault,0,1
David   Alain,Thiériot   Jean-Louis,0,1
David   Alain,Questel   Bruno,1,1
David   Alain,Valentin   Isabelle,0,1
David   Alain,Dupont   Stella,1,1
David   Alain,Lang   Anne-Christine,1,1
David   Alain,Dive   Julien,0,1
David   Alain,Maillard   Sylvain,1,1
David   Alain,Givernet   Olga,1,1
David   Alain,Pauget   Éric,0,1
David   Alain,Brun   Fabrice,0,1
David   Alain,Cordier   Pierre,0,1
David   Alain,Roussel   Cédric,1,1
David   Alain,Pitollat   Claire,1,1
David   Alain,Dharréville   Pierre,1,1
David   Alain,Racon-Bouzon   Cathy,1,1
David   Alain,Ahamada   Saïd,1,1
David   Alain,Zulesi   Jean-Marc,1,1
David   Alain,Laqhila   Mohamed,1,1
David   Alain,Bouyx   Bertrand,1,1
David   Alain,Essayan   Nadia,1,1
David   Alain,Mesnier   Thomas,0,1
David   Alain,Marsaud   Sandra,1,1
David   Alain,Gérard   Raphaël,1,1
David   Alain,Cormier-Bouligeon   François,0,1
David   Alain,Castellani   Michel,1,1
David   Alain,Dubois   Jacqueline,1,1
David   Alain,Charvier   Fannette,1,1
David   Alain,Kerlogot   Yannick,1,1
David   Alain,Clapot   Mireille,1,1
David   Alain,Anthoine   Emmanuelle,0,1
David   Alain,Tamarelle-Verhaeghe   Marie,1,1
David   Alain,Kasbarian   Guillaume,0,1
David   Alain,Le Meur   Annaïg,1,1
David   Alain,Le Gac   Didier,1,1
David   Alain,Mörch   Sandrine,1,1
David   Alain,Nadot   Sébastien,1,1
David   Alain,Cazeneuve   Jean-René,1,1
David   Alain,Berta   Philippe,1,1
David   Alain,Portarrieu   Jean-François,0,1
David   Alain,Prud'homme   Loïc,1,1
