from,to,vote_commun,loi_commun
Morel-À-L'Huissier   Pierre,Bony   Jean-Yves,1,1
Morel-À-L'Huissier   Pierre,Gosselin   Philippe,1,1
Morel-À-L'Huissier   Pierre,Descoeur   Vincent,1,1
Morel-À-L'Huissier   Pierre,Dalloz   Marie-Christine,1,1
Morel-À-L'Huissier   Pierre,Molac   Paul,0,1
Morel-À-L'Huissier   Pierre,Mazars   Stéphane,0,1
Morel-À-L'Huissier   Pierre,Louis   Alexandra,0,1
Morel-À-L'Huissier   Pierre,Zulesi   Jean-Marc,0,1
Morel-À-L'Huissier   Pierre,Blanchet   Christophe,0,1
Morel-À-L'Huissier   Pierre,Marsaud   Sandra,0,1
Morel-À-L'Huissier   Pierre,Martin   Didier,0,1
Morel-À-L'Huissier   Pierre,Dubois   Jacqueline,0,1
Morel-À-L'Huissier   Pierre,Khattabi   Fadila,0,1
Morel-À-L'Huissier   Pierre,Thourot   Alice,0,1
Morel-À-L'Huissier   Pierre,Anthoine   Emmanuelle,1,1
Morel-À-L'Huissier   Pierre,Gipson   Séverine,0,1
Morel-À-L'Huissier   Pierre,O'Petit   Claire,0,1
Morel-À-L'Huissier   Pierre,Portarrieu   Jean-François,0,1
Morel-À-L'Huissier   Pierre,Poulliat   Éric,0,1
Morel-À-L'Huissier   Pierre,Ménard   Emmanuelle,1,1
Morel-À-L'Huissier   Pierre,Euzet   Christophe,0,1
Morel-À-L'Huissier   Pierre,Chalas   Émilie,0,1
Morel-À-L'Huissier   Pierre,Démoulin   Nicolas,0,1
Morel-À-L'Huissier   Pierre,Abadie   Caroline,0,1
Morel-À-L'Huissier   Pierre,Brulebois   Danielle,0,1
Morel-À-L'Huissier   Pierre,Mis   Jean-Michel,0,1
Morel-À-L'Huissier   Pierre,Sarles   Nathalie,0,1
Morel-À-L'Huissier   Pierre,Saint-Paul   Laetitia,0,1
Morel-À-L'Huissier   Pierre,Masséglia   Denis,0,1
Morel-À-L'Huissier   Pierre,Cariou   Émilie,0,1
Morel-À-L'Huissier   Pierre,Lioger   Richard,0,1
Morel-À-L'Huissier   Pierre,Bernalicis   Ugo,1,1
Morel-À-L'Huissier   Pierre,Houbron   Dimitri,0,1
Morel-À-L'Huissier   Pierre,Thill   Agnès,0,1
Morel-À-L'Huissier   Pierre,Vatin   Pierre,1,1
Morel-À-L'Huissier   Pierre,Deprez-Audebert   Marguerite,0,1
Morel-À-L'Huissier   Pierre,Vichnievsky   Laurence,0,1
Morel-À-L'Huissier   Pierre,Bru   Vincent,0,1
Morel-À-L'Huissier   Pierre,Thomas   Valérie,0,1
Morel-À-L'Huissier   Pierre,Moutchou   Naïma,0,1
Morel-À-L'Huissier   Pierre,Peu   Stéphane,1,1
Morel-À-L'Huissier   Pierre,Schellenberger   Raphaël,1,1
Morel-À-L'Huissier   Pierre,Brugnera   Anne,0,1
Morel-À-L'Huissier   Pierre,Degois   Typhanie,0,1
Morel-À-L'Huissier   Pierre,Terlier   Jean,0,1
Morel-À-L'Huissier   Pierre,Rupin   Pacôme,0,1
Morel-À-L'Huissier   Pierre,Avia   Laetitia,0,1
Morel-À-L'Huissier   Pierre,Fauvergue   Jean-Michel,0,1
Morel-À-L'Huissier   Pierre,Mauborgne   Sereine,0,1
Morel-À-L'Huissier   Pierre,Guerel   Émilie,0,1
Morel-À-L'Huissier   Pierre,Crouzet   Michèle,0,1
Morel-À-L'Huissier   Pierre,Piron   Béatrice,0,1
Morel-À-L'Huissier   Pierre,Raphan   Pierre-Alain,0,1
Morel-À-L'Huissier   Pierre,Faucillon   Elsa,1,1
Morel-À-L'Huissier   Pierre,Braun-Pivet   Yaël,0,1
Morel-À-L'Huissier   Pierre,Obono   Danièle,1,1
Morel-À-L'Huissier   Pierre,Latombe   Philippe,0,1
Morel-À-L'Huissier   Pierre,Houlié   Sacha,0,1
Morel-À-L'Huissier   Pierre,Beaudouin-Hubiere   Sophie,0,1
Morel-À-L'Huissier   Pierre,Rudigoz   Thomas,0,1
Morel-À-L'Huissier   Pierre,Thiébaut   Vincent,0,1
Morel-À-L'Huissier   Pierre,Rebeyrotte   Rémy,0,1
Bony   Jean-Yves,Gosselin   Philippe,1,1
Bony   Jean-Yves,Descoeur   Vincent,1,1
Bony   Jean-Yves,Dalloz   Marie-Christine,1,1
Bony   Jean-Yves,Molac   Paul,0,1
Bony   Jean-Yves,Mazars   Stéphane,0,1
Bony   Jean-Yves,Louis   Alexandra,0,1
Bony   Jean-Yves,Zulesi   Jean-Marc,0,1
Bony   Jean-Yves,Blanchet   Christophe,0,1
Bony   Jean-Yves,Marsaud   Sandra,0,1
Bony   Jean-Yves,Martin   Didier,0,1
Bony   Jean-Yves,Dubois   Jacqueline,0,1
Bony   Jean-Yves,Khattabi   Fadila,0,1
Bony   Jean-Yves,Thourot   Alice,0,1
Bony   Jean-Yves,Anthoine   Emmanuelle,1,1
Bony   Jean-Yves,Gipson   Séverine,0,1
Bony   Jean-Yves,O'Petit   Claire,0,1
Bony   Jean-Yves,Portarrieu   Jean-François,0,1
Bony   Jean-Yves,Poulliat   Éric,0,1
Bony   Jean-Yves,Ménard   Emmanuelle,1,1
Bony   Jean-Yves,Euzet   Christophe,0,1
Bony   Jean-Yves,Chalas   Émilie,0,1
Bony   Jean-Yves,Démoulin   Nicolas,0,1
Bony   Jean-Yves,Abadie   Caroline,0,1
Bony   Jean-Yves,Brulebois   Danielle,0,1
Bony   Jean-Yves,Mis   Jean-Michel,0,1
Bony   Jean-Yves,Sarles   Nathalie,0,1
Bony   Jean-Yves,Saint-Paul   Laetitia,0,1
Bony   Jean-Yves,Masséglia   Denis,0,1
Bony   Jean-Yves,Cariou   Émilie,0,1
Bony   Jean-Yves,Lioger   Richard,0,1
Bony   Jean-Yves,Bernalicis   Ugo,1,1
Bony   Jean-Yves,Houbron   Dimitri,0,1
Bony   Jean-Yves,Thill   Agnès,0,1
Bony   Jean-Yves,Vatin   Pierre,1,1
Bony   Jean-Yves,Deprez-Audebert   Marguerite,0,1
Bony   Jean-Yves,Vichnievsky   Laurence,0,1
Bony   Jean-Yves,Bru   Vincent,0,1
Bony   Jean-Yves,Thomas   Valérie,0,1
Bony   Jean-Yves,Moutchou   Naïma,0,1
Bony   Jean-Yves,Peu   Stéphane,1,1
Bony   Jean-Yves,Schellenberger   Raphaël,1,1
Bony   Jean-Yves,Brugnera   Anne,0,1
Bony   Jean-Yves,Degois   Typhanie,0,1
Bony   Jean-Yves,Terlier   Jean,0,1
Bony   Jean-Yves,Rupin   Pacôme,0,1
Bony   Jean-Yves,Avia   Laetitia,0,1
Bony   Jean-Yves,Fauvergue   Jean-Michel,0,1
Bony   Jean-Yves,Mauborgne   Sereine,0,1
Bony   Jean-Yves,Guerel   Émilie,0,1
Bony   Jean-Yves,Crouzet   Michèle,0,1
Bony   Jean-Yves,Piron   Béatrice,0,1
Bony   Jean-Yves,Raphan   Pierre-Alain,0,1
Bony   Jean-Yves,Faucillon   Elsa,1,1
Bony   Jean-Yves,Braun-Pivet   Yaël,0,1
Bony   Jean-Yves,Obono   Danièle,1,1
Bony   Jean-Yves,Latombe   Philippe,0,1
Bony   Jean-Yves,Houlié   Sacha,0,1
Bony   Jean-Yves,Beaudouin-Hubiere   Sophie,0,1
Bony   Jean-Yves,Rudigoz   Thomas,0,1
Bony   Jean-Yves,Thiébaut   Vincent,0,1
Bony   Jean-Yves,Rebeyrotte   Rémy,0,1
Gosselin   Philippe,Descoeur   Vincent,1,1
Gosselin   Philippe,Dalloz   Marie-Christine,1,1
Gosselin   Philippe,Molac   Paul,0,1
Gosselin   Philippe,Mazars   Stéphane,0,1
Gosselin   Philippe,Louis   Alexandra,0,1
Gosselin   Philippe,Zulesi   Jean-Marc,0,1
Gosselin   Philippe,Blanchet   Christophe,0,1
Gosselin   Philippe,Marsaud   Sandra,0,1
Gosselin   Philippe,Martin   Didier,0,1
Gosselin   Philippe,Dubois   Jacqueline,0,1
Gosselin   Philippe,Khattabi   Fadila,0,1
Gosselin   Philippe,Thourot   Alice,0,1
Gosselin   Philippe,Anthoine   Emmanuelle,1,1
Gosselin   Philippe,Gipson   Séverine,0,1
Gosselin   Philippe,O'Petit   Claire,0,1
Gosselin   Philippe,Portarrieu   Jean-François,0,1
Gosselin   Philippe,Poulliat   Éric,0,1
Gosselin   Philippe,Ménard   Emmanuelle,1,1
Gosselin   Philippe,Euzet   Christophe,0,1
Gosselin   Philippe,Chalas   Émilie,0,1
Gosselin   Philippe,Démoulin   Nicolas,0,1
Gosselin   Philippe,Abadie   Caroline,0,1
Gosselin   Philippe,Brulebois   Danielle,0,1
Gosselin   Philippe,Mis   Jean-Michel,0,1
Gosselin   Philippe,Sarles   Nathalie,0,1
Gosselin   Philippe,Saint-Paul   Laetitia,0,1
Gosselin   Philippe,Masséglia   Denis,0,1
Gosselin   Philippe,Cariou   Émilie,0,1
Gosselin   Philippe,Lioger   Richard,0,1
Gosselin   Philippe,Bernalicis   Ugo,1,1
Gosselin   Philippe,Houbron   Dimitri,0,1
Gosselin   Philippe,Thill   Agnès,0,1
Gosselin   Philippe,Vatin   Pierre,1,1
Gosselin   Philippe,Deprez-Audebert   Marguerite,0,1
Gosselin   Philippe,Vichnievsky   Laurence,0,1
Gosselin   Philippe,Bru   Vincent,0,1
Gosselin   Philippe,Thomas   Valérie,0,1
Gosselin   Philippe,Moutchou   Naïma,0,1
Gosselin   Philippe,Peu   Stéphane,1,1
Gosselin   Philippe,Schellenberger   Raphaël,1,1
Gosselin   Philippe,Brugnera   Anne,0,1
Gosselin   Philippe,Degois   Typhanie,0,1
Gosselin   Philippe,Terlier   Jean,0,1
Gosselin   Philippe,Rupin   Pacôme,0,1
Gosselin   Philippe,Avia   Laetitia,0,1
Gosselin   Philippe,Fauvergue   Jean-Michel,0,1
Gosselin   Philippe,Mauborgne   Sereine,0,1
Gosselin   Philippe,Guerel   Émilie,0,1
Gosselin   Philippe,Crouzet   Michèle,0,1
Gosselin   Philippe,Piron   Béatrice,0,1
Gosselin   Philippe,Raphan   Pierre-Alain,0,1
Gosselin   Philippe,Faucillon   Elsa,1,1
Gosselin   Philippe,Braun-Pivet   Yaël,0,1
Gosselin   Philippe,Obono   Danièle,1,1
Gosselin   Philippe,Latombe   Philippe,0,1
Gosselin   Philippe,Houlié   Sacha,0,1
Gosselin   Philippe,Beaudouin-Hubiere   Sophie,0,1
Gosselin   Philippe,Rudigoz   Thomas,0,1
Gosselin   Philippe,Thiébaut   Vincent,0,1
Gosselin   Philippe,Rebeyrotte   Rémy,0,1
Descoeur   Vincent,Dalloz   Marie-Christine,1,1
Descoeur   Vincent,Molac   Paul,0,1
Descoeur   Vincent,Mazars   Stéphane,0,1
Descoeur   Vincent,Louis   Alexandra,0,1
Descoeur   Vincent,Zulesi   Jean-Marc,0,1
Descoeur   Vincent,Blanchet   Christophe,0,1
Descoeur   Vincent,Marsaud   Sandra,0,1
Descoeur   Vincent,Martin   Didier,0,1
Descoeur   Vincent,Dubois   Jacqueline,0,1
Descoeur   Vincent,Khattabi   Fadila,0,1
Descoeur   Vincent,Thourot   Alice,0,1
Descoeur   Vincent,Anthoine   Emmanuelle,1,1
Descoeur   Vincent,Gipson   Séverine,0,1
Descoeur   Vincent,O'Petit   Claire,0,1
Descoeur   Vincent,Portarrieu   Jean-François,0,1
Descoeur   Vincent,Poulliat   Éric,0,1
Descoeur   Vincent,Ménard   Emmanuelle,1,1
Descoeur   Vincent,Euzet   Christophe,0,1
Descoeur   Vincent,Chalas   Émilie,0,1
Descoeur   Vincent,Démoulin   Nicolas,0,1
Descoeur   Vincent,Abadie   Caroline,0,1
Descoeur   Vincent,Brulebois   Danielle,0,1
Descoeur   Vincent,Mis   Jean-Michel,0,1
Descoeur   Vincent,Sarles   Nathalie,0,1
Descoeur   Vincent,Saint-Paul   Laetitia,0,1
Descoeur   Vincent,Masséglia   Denis,0,1
Descoeur   Vincent,Cariou   Émilie,0,1
Descoeur   Vincent,Lioger   Richard,0,1
Descoeur   Vincent,Bernalicis   Ugo,1,1
Descoeur   Vincent,Houbron   Dimitri,0,1
Descoeur   Vincent,Thill   Agnès,0,1
Descoeur   Vincent,Vatin   Pierre,1,1
Descoeur   Vincent,Deprez-Audebert   Marguerite,0,1
Descoeur   Vincent,Vichnievsky   Laurence,0,1
Descoeur   Vincent,Bru   Vincent,0,1
Descoeur   Vincent,Thomas   Valérie,0,1
Descoeur   Vincent,Moutchou   Naïma,0,1
Descoeur   Vincent,Peu   Stéphane,1,1
Descoeur   Vincent,Schellenberger   Raphaël,1,1
Descoeur   Vincent,Brugnera   Anne,0,1
Descoeur   Vincent,Degois   Typhanie,0,1
Descoeur   Vincent,Terlier   Jean,0,1
Descoeur   Vincent,Rupin   Pacôme,0,1
Descoeur   Vincent,Avia   Laetitia,0,1
Descoeur   Vincent,Fauvergue   Jean-Michel,0,1
Descoeur   Vincent,Mauborgne   Sereine,0,1
Descoeur   Vincent,Guerel   Émilie,0,1
Descoeur   Vincent,Crouzet   Michèle,0,1
Descoeur   Vincent,Piron   Béatrice,0,1
Descoeur   Vincent,Raphan   Pierre-Alain,0,1
Descoeur   Vincent,Faucillon   Elsa,1,1
Descoeur   Vincent,Braun-Pivet   Yaël,0,1
Descoeur   Vincent,Obono   Danièle,1,1
Descoeur   Vincent,Latombe   Philippe,0,1
Descoeur   Vincent,Houlié   Sacha,0,1
Descoeur   Vincent,Beaudouin-Hubiere   Sophie,0,1
Descoeur   Vincent,Rudigoz   Thomas,0,1
Descoeur   Vincent,Thiébaut   Vincent,0,1
Descoeur   Vincent,Rebeyrotte   Rémy,0,1
Dalloz   Marie-Christine,Molac   Paul,0,1
Dalloz   Marie-Christine,Mazars   Stéphane,0,1
Dalloz   Marie-Christine,Louis   Alexandra,0,1
Dalloz   Marie-Christine,Zulesi   Jean-Marc,0,1
Dalloz   Marie-Christine,Blanchet   Christophe,0,1
Dalloz   Marie-Christine,Marsaud   Sandra,0,1
Dalloz   Marie-Christine,Martin   Didier,0,1
Dalloz   Marie-Christine,Dubois   Jacqueline,0,1
Dalloz   Marie-Christine,Khattabi   Fadila,0,1
Dalloz   Marie-Christine,Thourot   Alice,0,1
Dalloz   Marie-Christine,Anthoine   Emmanuelle,1,1
Dalloz   Marie-Christine,Gipson   Séverine,0,1
Dalloz   Marie-Christine,O'Petit   Claire,0,1
Dalloz   Marie-Christine,Portarrieu   Jean-François,0,1
