from,to,vote_commun,loi_commun
Menuel   Gérard,Juanico   Régis,1,1
Menuel   Gérard,Pinel   Sylvia,1,1
Menuel   Gérard,Victory   Michèle,1,1
Menuel   Gérard,Brindeau   Pascal,1,1
Menuel   Gérard,Bridey   Jean-Jacques,0,1
Menuel   Gérard,Sage   Maina,1,1
Menuel   Gérard,Louis   Alexandra,0,1
Menuel   Gérard,Dharréville   Pierre,1,1
Menuel   Gérard,Gérard   Raphaël,0,1
Menuel   Gérard,Castellani   Michel,1,1
Menuel   Gérard,Charvier   Fannette,0,1
Menuel   Gérard,Poulliat   Éric,0,1
Menuel   Gérard,Colas-Roy   Jean-Charles,0,1
Menuel   Gérard,Chalas   Émilie,0,1
Menuel   Gérard,Cloarec-Le Nabour   Christine,0,1
Menuel   Gérard,Jolivet   François,0,1
Menuel   Gérard,Motin   Cendra,0,1
Menuel   Gérard,Brulebois   Danielle,0,1
Menuel   Gérard,Lainé   Fabien,0,1
Menuel   Gérard,Vallaud   Boris,1,1
Menuel   Gérard,Kamowski   Catherine,0,1
Menuel   Gérard,Orphelin   Matthieu,0,1
Menuel   Gérard,Belhaddad   Belkhir,0,1
Menuel   Gérard,Bernalicis   Ugo,1,1
Menuel   Gérard,Minot   Maxime,1,1
Menuel   Gérard,Vichnievsky   Laurence,0,1
Menuel   Gérard,Gayte   Laurence,0,1
Menuel   Gérard,Thomas   Valérie,0,1
Menuel   Gérard,Rilhac   Cécile,0,1
Menuel   Gérard,Manin   Josette,1,1
Menuel   Gérard,Lakrafi   Amélia,0,1
Menuel   Gérard,Gaillot   Albane,0,1
Menuel   Gérard,Peu   Stéphane,1,1
Menuel   Gérard,Gouffier-Cha   Guillaume,0,1
Menuel   Gérard,Bonnivard   Émilie,1,1
Menuel   Gérard,Luquet   Aude,0,1
Menuel   Gérard,Rupin   Pacôme,0,1
Menuel   Gérard,Michel-Kleisbauer   Philippe,0,1
Menuel   Gérard,Florennes   Isabelle,0,1
Menuel   Gérard,Crouzet   Michèle,0,1
Menuel   Gérard,Guévenoux   Marie,0,1
Menuel   Gérard,Raphan   Pierre-Alain,0,1
Menuel   Gérard,Braun-Pivet   Yaël,0,1
Menuel   Gérard,Obono   Danièle,1,1
Menuel   Gérard,Henriet   Pierre,0,1
Menuel   Gérard,Beaudouin-Hubiere   Sophie,0,1
Menuel   Gérard,Fuchs   Bruno,0,1
Juanico   Régis,Pinel   Sylvia,1,1
Juanico   Régis,Victory   Michèle,1,1
Juanico   Régis,Brindeau   Pascal,1,1
Juanico   Régis,Bridey   Jean-Jacques,0,1
Juanico   Régis,Sage   Maina,1,1
Juanico   Régis,Louis   Alexandra,0,1
Juanico   Régis,Dharréville   Pierre,1,1
Juanico   Régis,Gérard   Raphaël,0,1
Juanico   Régis,Castellani   Michel,1,1
Juanico   Régis,Charvier   Fannette,0,1
Juanico   Régis,Poulliat   Éric,0,1
Juanico   Régis,Colas-Roy   Jean-Charles,0,1
Juanico   Régis,Chalas   Émilie,0,1
Juanico   Régis,Cloarec-Le Nabour   Christine,0,1
Juanico   Régis,Jolivet   François,0,1
Juanico   Régis,Motin   Cendra,0,1
Juanico   Régis,Brulebois   Danielle,0,1
Juanico   Régis,Lainé   Fabien,0,1
Juanico   Régis,Vallaud   Boris,1,1
Juanico   Régis,Kamowski   Catherine,0,1
Juanico   Régis,Orphelin   Matthieu,0,1
Juanico   Régis,Belhaddad   Belkhir,0,1
Juanico   Régis,Bernalicis   Ugo,1,1
