from,to,vote_commun,loi_commun
Dumont   Laurence,Le Fur   Marc,1,1
Dumont   Laurence,Pont   Jean-Pierre,0,1
Dumont   Laurence,Bony   Jean-Yves,1,1
Dumont   Laurence,Chassaigne   André,1,1
Dumont   Laurence,Delatte   Rémi,1,1
Dumont   Laurence,Descoeur   Vincent,1,1
Dumont   Laurence,Benoit   Thierry,0,1
Dumont   Laurence,Juanico   Régis,1,1
Dumont   Laurence,Saulignac   Hervé,1,1
Dumont   Laurence,Battistel   Marie-Noëlle,1,1
Dumont   Laurence,Dubois   Marianne,1,1
Dumont   Laurence,Le Grip   Constance,1,1
Dumont   Laurence,Bricout   Jean-Louis,1,1
Dumont   Laurence,Potier   Dominique,1,1
Dumont   Laurence,Louwagie   Véronique,1,1
Dumont   Laurence,Tolmont   Sylvie,1,1
Dumont   Laurence,Duby-Muller   Virginie,1,1
Dumont   Laurence,Bothorel   Éric,0,1
Dumont   Laurence,Questel   Bruno,0,1
Dumont   Laurence,Valentin   Isabelle,1,1
Dumont   Laurence,Boyer   Pascale,0,1
Dumont   Laurence,Dufrègne   Jean-Paul,1,1
Dumont   Laurence,Pauget   Éric,1,1
Dumont   Laurence,Perea   Alain,0,1
Dumont   Laurence,Robert   Mireille,0,1
Dumont   Laurence,Cordier   Pierre,1,1
Dumont   Laurence,Roussel   Cédric,0,1
Dumont   Laurence,Dharréville   Pierre,1,1
Dumont   Laurence,Petel   Anne-Laurence,0,1
Dumont   Laurence,Zulesi   Jean-Marc,0,1
Dumont   Laurence,Laqhila   Mohamed,0,1
Dumont   Laurence,Martin   Didier,0,1
Dumont   Laurence,Dubois   Jacqueline,0,1
Dumont   Laurence,Charvier   Fannette,0,1
Dumont   Laurence,Khattabi   Fadila,0,1
Dumont   Laurence,Moreau   Jean-Baptiste,0,1
Dumont   Laurence,Anthoine   Emmanuelle,1,1
Dumont   Laurence,O'Petit   Claire,0,1
Dumont   Laurence,Kasbarian   Guillaume,0,1
Dumont   Laurence,Sommer   Denis,0,1
Dumont   Laurence,Cellier   Anthony,0,1
Dumont   Laurence,Balanant   Erwan,0,1
Dumont   Laurence,Poulliat   Éric,0,1
Dumont   Laurence,Ménard   Emmanuelle,1,1
Dumont   Laurence,Euzet   Christophe,0,1
Dumont   Laurence,Panonacle   Sophie,0,1
Dumont   Laurence,Dubost   Coralie,0,1
Dumont   Laurence,Maillart-Méhaignerie   Laurence,0,1
Dumont   Laurence,Motin   Cendra,0,1
