from,to,vote_commun,loi_commun
Herbillon   Michel,Le Fur   Marc,1,1
Herbillon   Michel,Mélenchon   Jean-Luc,1,1
Herbillon   Michel,Reiss   Frédéric,1,1
Herbillon   Michel,Zumkeller   Michel,1,1
Herbillon   Michel,Larrivé   Guillaume,1,1
Herbillon   Michel,Tourret   Alain,0,1
Herbillon   Michel,Breton   Xavier,1,1
Herbillon   Michel,Vigier   Philippe,1,1
Herbillon   Michel,Juanico   Régis,1,1
Herbillon   Michel,Batho   Delphine,1,1
Herbillon   Michel,Victory   Michèle,1,1
Herbillon   Michel,Battistel   Marie-Noëlle,1,1
Herbillon   Michel,Autain   Clémentine,1,1
Herbillon   Michel,Lambert   François-Michel,1,1
Herbillon   Michel,Alauzet   Éric,0,1
Herbillon   Michel,Dumas   Françoise,0,1
Herbillon   Michel,Pires Beaune   Christine,1,1
Herbillon   Michel,Dubié   Jeanine,1,1
Herbillon   Michel,Untermaier   Cécile,1,1
Herbillon   Michel,Bothorel   Éric,0,1
Herbillon   Michel,Becht   Olivier,1,1
Herbillon   Michel,Questel   Bruno,0,1
Herbillon   Michel,Valentin   Isabelle,1,1
Herbillon   Michel,Dive   Julien,1,1
Herbillon   Michel,Maillard   Sylvain,0,1
Herbillon   Michel,Delatte   Marc,0,1
Herbillon   Michel,Boyer   Pascale,0,1
Herbillon   Michel,Robert   Mireille,0,1
Herbillon   Michel,Taurine   Bénédicte,1,1
Herbillon   Michel,Larive   Michel,1,1
Herbillon   Michel,Besson-Moreau   Grégory,0,1
Herbillon   Michel,Dombreval   Loïc,0,1
Herbillon   Michel,Le Vigoureux   Fabrice,0,1
Herbillon   Michel,Blanchet   Christophe,0,1
Herbillon   Michel,Bouyx   Bertrand,0,1
Herbillon   Michel,Mesnier   Thomas,0,1
Herbillon   Michel,Marsaud   Sandra,0,1
Herbillon   Michel,Gérard   Raphaël,0,1
Herbillon   Michel,Michel-Brassart   Monica,0,1
Herbillon   Michel,Castellani   Michel,1,1
Herbillon   Michel,Acquaviva   Jean-Félix,1,1
Herbillon   Michel,Martin   Didier,0,1
Herbillon   Michel,Khattabi   Fadila,0,1
Herbillon   Michel,Paris   Didier,0,1
Herbillon   Michel,Moreau   Jean-Baptiste,0,1
Herbillon   Michel,Colombani   Paul-André,1,1
Herbillon   Michel,Clapot   Mireille,0,1
Herbillon   Michel,Thourot   Alice,0,1
Herbillon   Michel,de Lavergne   Célia,0,1
Herbillon   Michel,Gouttefarde   Fabien,0,1
Herbillon   Michel,Cazeneuve   Jean-René,0,1
Herbillon   Michel,Vignon   Corinne,0,1
Herbillon   Michel,Balanant   Erwan,0,1
Herbillon   Michel,Prud'homme   Loïc,1,1
Herbillon   Michel,Poulliat   Éric,0,1
Herbillon   Michel,Ménard   Emmanuelle,1,1
Herbillon   Michel,Mette   Sophie,0,1
Herbillon   Michel,Dubost   Coralie,0,1
Herbillon   Michel,Colas-Roy   Jean-Charles,0,1
Herbillon   Michel,Colboc   Fabienne,0,1
Herbillon   Michel,Thillaye   Sabine,0,1
