from,to,vote_commun,loi_commun
Jacob   Christian,Descoeur   Vincent,1,1
Jacob   Christian,Saulignac   Hervé,0,1
Jacob   Christian,Abad   Damien,1,1
Jacob   Christian,Genevard   Annie,1,1
Jacob   Christian,Louwagie   Véronique,1,1
Jacob   Christian,Christophe   Paul,1,1
Jacob   Christian,Vainqueur-Christophe   Hélène,0,1
Jacob   Christian,Delatte   Marc,1,1
Jacob   Christian,Bagarry   Delphine,1,1
Jacob   Christian,Robert   Mireille,1,1
Jacob   Christian,Cordier   Pierre,1,1
Jacob   Christian,Martin   Didier,1,1
Jacob   Christian,de Lavergne   Célia,1,1
Jacob   Christian,Gipson   Séverine,1,1
Jacob   Christian,Tamarelle-Verhaeghe   Marie,1,1
Jacob   Christian,Chapelier   Annie,1,1
Jacob   Christian,Cazeneuve   Jean-René,1,1
Jacob   Christian,Tanguy   Liliana,1,1
Jacob   Christian,Ménard   Emmanuelle,0,1
Jacob   Christian,Hammerer   Véronique,1,1
Jacob   Christian,Le Bohec   Gaël,1,1
Jacob   Christian,Démoulin   Nicolas,1,1
Jacob   Christian,Meynier-Millefert   Marjolaine,1,1
Jacob   Christian,Lainé   Fabien,1,1
Jacob   Christian,Kuric   Aina,1,1
Jacob   Christian,Fiat   Caroline,0,1
Jacob   Christian,Perrot   Patrice,1,1
Jacob   Christian,Vatin   Pierre,1,1
Jacob   Christian,Deprez-Audebert   Marguerite,1,1
Jacob   Christian,Minot   Maxime,1,1
Jacob   Christian,Sempastous   Jean-Bernard,1,1
Jacob   Christian,Gayte   Laurence,1,1
Jacob   Christian,Panot   Mathilde,0,1
Jacob   Christian,Kéclard-Mondésir   Manuéla,1,1
Jacob   Christian,Riotton   Véronique,1,1
Jacob   Christian,Viry   Stéphane,1,1
Jacob   Christian,Kuster   Brigitte,1,1
Jacob   Christian,Tan   Buon,1,1
Jacob   Christian,Piron   Béatrice,1,1
Jacob   Christian,Morenas   Adrien,1,1
Jacob   Christian,Raphan   Pierre-Alain,1,1
Jacob   Christian,de Vaucouleurs   Michèle,1,1
Jacob   Christian,Obono   Danièle,0,1
Jacob   Christian,Leclabart   Jean-Claude,1,1
Jacob   Christian,Wonner   Martine,1,1
Descoeur   Vincent,Saulignac   Hervé,0,1
Descoeur   Vincent,Abad   Damien,1,1
Descoeur   Vincent,Genevard   Annie,1,1
Descoeur   Vincent,Louwagie   Véronique,1,1
Descoeur   Vincent,Christophe   Paul,1,1
Descoeur   Vincent,Vainqueur-Christophe   Hélène,0,1
Descoeur   Vincent,Delatte   Marc,1,1
Descoeur   Vincent,Bagarry   Delphine,1,1
Descoeur   Vincent,Robert   Mireille,1,1
Descoeur   Vincent,Cordier   Pierre,1,1
Descoeur   Vincent,Martin   Didier,1,1
Descoeur   Vincent,de Lavergne   Célia,1,1
Descoeur   Vincent,Gipson   Séverine,1,1
Descoeur   Vincent,Tamarelle-Verhaeghe   Marie,1,1
Descoeur   Vincent,Chapelier   Annie,1,1
Descoeur   Vincent,Cazeneuve   Jean-René,1,1
Descoeur   Vincent,Tanguy   Liliana,1,1
Descoeur   Vincent,Ménard   Emmanuelle,0,1
Descoeur   Vincent,Hammerer   Véronique,1,1
Descoeur   Vincent,Le Bohec   Gaël,1,1
Descoeur   Vincent,Démoulin   Nicolas,1,1
Descoeur   Vincent,Meynier-Millefert   Marjolaine,1,1
Descoeur   Vincent,Lainé   Fabien,1,1
Descoeur   Vincent,Kuric   Aina,1,1
Descoeur   Vincent,Fiat   Caroline,0,1
Descoeur   Vincent,Perrot   Patrice,1,1
Descoeur   Vincent,Vatin   Pierre,1,1
Descoeur   Vincent,Deprez-Audebert   Marguerite,1,1
Descoeur   Vincent,Minot   Maxime,1,1
Descoeur   Vincent,Sempastous   Jean-Bernard,1,1
Descoeur   Vincent,Gayte   Laurence,1,1
Descoeur   Vincent,Panot   Mathilde,0,1
Descoeur   Vincent,Kéclard-Mondésir   Manuéla,1,1
Descoeur   Vincent,Riotton   Véronique,1,1
Descoeur   Vincent,Viry   Stéphane,1,1
Descoeur   Vincent,Kuster   Brigitte,1,1
Descoeur   Vincent,Tan   Buon,1,1
Descoeur   Vincent,Piron   Béatrice,1,1
Descoeur   Vincent,Morenas   Adrien,1,1
Descoeur   Vincent,Raphan   Pierre-Alain,1,1
Descoeur   Vincent,de Vaucouleurs   Michèle,1,1
Descoeur   Vincent,Obono   Danièle,0,1
Descoeur   Vincent,Leclabart   Jean-Claude,1,1
Descoeur   Vincent,Wonner   Martine,1,1
Saulignac   Hervé,Abad   Damien,0,1
Saulignac   Hervé,Genevard   Annie,0,1
Saulignac   Hervé,Louwagie   Véronique,0,1
Saulignac   Hervé,Christophe   Paul,0,1
Saulignac   Hervé,Vainqueur-Christophe   Hélène,1,1
Saulignac   Hervé,Delatte   Marc,0,1
Saulignac   Hervé,Bagarry   Delphine,0,1
Saulignac   Hervé,Robert   Mireille,0,1
Saulignac   Hervé,Cordier   Pierre,0,1
Saulignac   Hervé,Martin   Didier,0,1
Saulignac   Hervé,de Lavergne   Célia,0,1
Saulignac   Hervé,Gipson   Séverine,0,1
Saulignac   Hervé,Tamarelle-Verhaeghe   Marie,0,1
Saulignac   Hervé,Chapelier   Annie,0,1
Saulignac   Hervé,Cazeneuve   Jean-René,0,1
Saulignac   Hervé,Tanguy   Liliana,0,1
Saulignac   Hervé,Ménard   Emmanuelle,1,1
Saulignac   Hervé,Hammerer   Véronique,0,1
Saulignac   Hervé,Le Bohec   Gaël,0,1
Saulignac   Hervé,Démoulin   Nicolas,0,1
Saulignac   Hervé,Meynier-Millefert   Marjolaine,0,1
Saulignac   Hervé,Lainé   Fabien,0,1
Saulignac   Hervé,Kuric   Aina,0,1
Saulignac   Hervé,Fiat   Caroline,0,1
Saulignac   Hervé,Perrot   Patrice,0,1
Saulignac   Hervé,Vatin   Pierre,0,1
Saulignac   Hervé,Deprez-Audebert   Marguerite,0,1
Saulignac   Hervé,Minot   Maxime,0,1
Saulignac   Hervé,Sempastous   Jean-Bernard,0,1
Saulignac   Hervé,Gayte   Laurence,0,1
Saulignac   Hervé,Panot   Mathilde,0,1
Saulignac   Hervé,Kéclard-Mondésir   Manuéla,0,1
Saulignac   Hervé,Riotton   Véronique,0,1
Saulignac   Hervé,Viry   Stéphane,0,1
Saulignac   Hervé,Kuster   Brigitte,0,1
Saulignac   Hervé,Tan   Buon,0,1
Saulignac   Hervé,Piron   Béatrice,0,1
Saulignac   Hervé,Morenas   Adrien,0,1
Saulignac   Hervé,Raphan   Pierre-Alain,0,1
Saulignac   Hervé,de Vaucouleurs   Michèle,0,1
Saulignac   Hervé,Obono   Danièle,0,1
Saulignac   Hervé,Leclabart   Jean-Claude,0,1
Saulignac   Hervé,Wonner   Martine,0,1
Abad   Damien,Genevard   Annie,1,1
Abad   Damien,Louwagie   Véronique,1,1
Abad   Damien,Christophe   Paul,1,1
Abad   Damien,Vainqueur-Christophe   Hélène,0,1
Abad   Damien,Delatte   Marc,1,1
Abad   Damien,Bagarry   Delphine,1,1
Abad   Damien,Robert   Mireille,1,1
Abad   Damien,Cordier   Pierre,1,1
Abad   Damien,Martin   Didier,1,1
Abad   Damien,de Lavergne   Célia,1,1
Abad   Damien,Gipson   Séverine,1,1
Abad   Damien,Tamarelle-Verhaeghe   Marie,1,1
Abad   Damien,Chapelier   Annie,1,1
Abad   Damien,Cazeneuve   Jean-René,1,1
Abad   Damien,Tanguy   Liliana,1,1
Abad   Damien,Ménard   Emmanuelle,0,1
Abad   Damien,Hammerer   Véronique,1,1
Abad   Damien,Le Bohec   Gaël,1,1
Abad   Damien,Démoulin   Nicolas,1,1
Abad   Damien,Meynier-Millefert   Marjolaine,1,1
Abad   Damien,Lainé   Fabien,1,1
Abad   Damien,Kuric   Aina,1,1
Abad   Damien,Fiat   Caroline,0,1
Abad   Damien,Perrot   Patrice,1,1
Abad   Damien,Vatin   Pierre,1,1
Abad   Damien,Deprez-Audebert   Marguerite,1,1
Abad   Damien,Minot   Maxime,1,1
Abad   Damien,Sempastous   Jean-Bernard,1,1
Abad   Damien,Gayte   Laurence,1,1
Abad   Damien,Panot   Mathilde,0,1
Abad   Damien,Kéclard-Mondésir   Manuéla,1,1
Abad   Damien,Riotton   Véronique,1,1
Abad   Damien,Viry   Stéphane,1,1
Abad   Damien,Kuster   Brigitte,1,1
Abad   Damien,Tan   Buon,1,1
Abad   Damien,Piron   Béatrice,1,1
Abad   Damien,Morenas   Adrien,1,1
Abad   Damien,Raphan   Pierre-Alain,1,1
Abad   Damien,de Vaucouleurs   Michèle,1,1
Abad   Damien,Obono   Danièle,0,1
Abad   Damien,Leclabart   Jean-Claude,1,1
Abad   Damien,Wonner   Martine,1,1
Genevard   Annie,Louwagie   Véronique,1,1
Genevard   Annie,Christophe   Paul,1,1
Genevard   Annie,Vainqueur-Christophe   Hélène,0,1
Genevard   Annie,Delatte   Marc,1,1
Genevard   Annie,Bagarry   Delphine,1,1
Genevard   Annie,Robert   Mireille,1,1
Genevard   Annie,Cordier   Pierre,1,1
Genevard   Annie,Martin   Didier,1,1
Genevard   Annie,de Lavergne   Célia,1,1
Genevard   Annie,Gipson   Séverine,1,1
Genevard   Annie,Tamarelle-Verhaeghe   Marie,1,1
Genevard   Annie,Chapelier   Annie,1,1
Genevard   Annie,Cazeneuve   Jean-René,1,1
Genevard   Annie,Tanguy   Liliana,1,1
Genevard   Annie,Ménard   Emmanuelle,0,1
Genevard   Annie,Hammerer   Véronique,1,1
Genevard   Annie,Le Bohec   Gaël,1,1
Genevard   Annie,Démoulin   Nicolas,1,1
Genevard   Annie,Meynier-Millefert   Marjolaine,1,1
Genevard   Annie,Lainé   Fabien,1,1
Genevard   Annie,Kuric   Aina,1,1
Genevard   Annie,Fiat   Caroline,0,1
Genevard   Annie,Perrot   Patrice,1,1
Genevard   Annie,Vatin   Pierre,1,1
Genevard   Annie,Deprez-Audebert   Marguerite,1,1
Genevard   Annie,Minot   Maxime,1,1
Genevard   Annie,Sempastous   Jean-Bernard,1,1
Genevard   Annie,Gayte   Laurence,1,1
Genevard   Annie,Panot   Mathilde,0,1
Genevard   Annie,Kéclard-Mondésir   Manuéla,1,1
Genevard   Annie,Riotton   Véronique,1,1
Genevard   Annie,Viry   Stéphane,1,1
Genevard   Annie,Kuster   Brigitte,1,1
Genevard   Annie,Tan   Buon,1,1
Genevard   Annie,Piron   Béatrice,1,1
Genevard   Annie,Morenas   Adrien,1,1
Genevard   Annie,Raphan   Pierre-Alain,1,1
Genevard   Annie,de Vaucouleurs   Michèle,1,1
Genevard   Annie,Obono   Danièle,0,1
Genevard   Annie,Leclabart   Jean-Claude,1,1
Genevard   Annie,Wonner   Martine,1,1
Louwagie   Véronique,Christophe   Paul,1,1
