from,to,vote_commun,loi_commun
Perrut   Bernard,Favennec-Bécot   Yannick,0,1
Perrut   Bernard,Poletti   Bérengère,0,1
Perrut   Bernard,Door   Jean-Pierre,0,1
Perrut   Bernard,Grelier   Jean-Carles,0,1
Perrut   Bernard,Levy   Geneviève,0,1
Perrut   Bernard,Iborra   Monique,0,1
Perrut   Bernard,Benoit   Thierry,0,1
Perrut   Bernard,Dalloz   Marie-Christine,0,1
Perrut   Bernard,Garot   Guillaume,0,1
Perrut   Bernard,Lecoq   Jean-Paul,0,1
Perrut   Bernard,Pinel   Sylvia,0,1
Perrut   Bernard,Saulignac   Hervé,0,1
Perrut   Bernard,Brindeau   Pascal,0,1
Perrut   Bernard,Biémouret   Gisèle,0,1
Perrut   Bernard,Boudié   Florent,0,1
Perrut   Bernard,Molac   Paul,0,1
Perrut   Bernard,Aviragnet   Joël,0,1
Perrut   Bernard,Bazin   Thibault,0,1
Perrut   Bernard,Christophe   Paul,1,1
Perrut   Bernard,Valentin   Isabelle,0,1
Perrut   Bernard,Mazars   Stéphane,0,1
Perrut   Bernard,Maillard   Sylvain,0,1
Perrut   Bernard,Trompille   Stéphane,0,1
Perrut   Bernard,Delatte   Marc,0,1
Perrut   Bernard,Peyrol   Bénédicte,0,1
Perrut   Bernard,Bagarry   Delphine,0,1
Perrut   Bernard,Cordier   Pierre,1,1
Perrut   Bernard,Pitollat   Claire,0,1
Perrut   Bernard,Petel   Anne-Laurence,0,1
Perrut   Bernard,Bouyx   Bertrand,0,1
Perrut   Bernard,Mesnier   Thomas,0,1
Perrut   Bernard,Tuffnell   Frédérique,0,1
Perrut   Bernard,Cormier-Bouligeon   François,0,1
Perrut   Bernard,Michel-Brassart   Monica,0,1
Perrut   Bernard,Martin   Didier,0,1
Perrut   Bernard,Colombani   Paul-André,0,1
Perrut   Bernard,Gouttefarde   Fabien,1,1
Perrut   Bernard,Tamarelle-Verhaeghe   Marie,0,1
Perrut   Bernard,Le Feur   Sandrine,0,1
Perrut   Bernard,Cellier   Anthony,0,1
Perrut   Bernard,Cazeneuve   Jean-René,0,1
Perrut   Bernard,Berta   Philippe,0,1
Perrut   Bernard,Ménard   Emmanuelle,0,1
Perrut   Bernard,Hammerer   Véronique,0,1
Perrut   Bernard,Mirallès   Patricia,0,1
Perrut   Bernard,Le Bohec   Gaël,0,1
Perrut   Bernard,Chalumeau   Philippe,0,1
Perrut   Bernard,Labaronne   Daniel,0,1
Perrut   Bernard,Colboc   Fabienne,0,1
Perrut   Bernard,Démoulin   Nicolas,0,1
Perrut   Bernard,Limon   Monique,0,1
Perrut   Bernard,Abadie   Caroline,0,1
Perrut   Bernard,Borowczyk   Julien,0,1
Perrut   Bernard,Rist   Stéphanie,0,1
Perrut   Bernard,Janvier   Caroline,0,1
Perrut   Bernard,Sorre   Bertrand,0,1
Perrut   Bernard,Magnier   Lise,1,1
