from,to,vote_commun,loi_commun
Biémouret   Gisèle,Alauzet   Éric,1,1
Biémouret   Gisèle,Aviragnet   Joël,1,1
Biémouret   Gisèle,Maillard   Sylvain,1,1
Biémouret   Gisèle,Bagarry   Delphine,1,1
Biémouret   Gisèle,Robert   Mireille,1,1
Biémouret   Gisèle,Roussel   Cédric,1,1
Biémouret   Gisèle,Pitollat   Claire,1,1
Biémouret   Gisèle,Dharréville   Pierre,1,1
Biémouret   Gisèle,Laqhila   Mohamed,1,1
Biémouret   Gisèle,Mesnier   Thomas,1,1
Biémouret   Gisèle,Ménard   Emmanuelle,1,1
Biémouret   Gisèle,Hammerer   Véronique,1,1
Biémouret   Gisèle,Dubos   Christelle,1,1
Biémouret   Gisèle,Dubost   Coralie,1,1
Biémouret   Gisèle,David   Dominique,1,1
Biémouret   Gisèle,Colas-Roy   Jean-Charles,1,1
Biémouret   Gisèle,Cloarec-Le Nabour   Christine,1,1
Biémouret   Gisèle,Labaronne   Daniel,1,1
Biémouret   Gisèle,Démoulin   Nicolas,1,1
Biémouret   Gisèle,Vallaud   Boris,1,1
Biémouret   Gisèle,Faure-Muntian   Valéria,1,1
Biémouret   Gisèle,Dufeu   Audrey,1,1
Biémouret   Gisèle,Janvier   Caroline,1,1
Biémouret   Gisèle,Damaisin   Olivier,1,1
Biémouret   Gisèle,Fiat   Caroline,0,1
Biémouret   Gisèle,Hammouche   Brahim,1,1
Biémouret   Gisèle,Quatennens   Adrien,0,1
Biémouret   Gisèle,Parmentier-Lecocq   Charlotte,1,1
Biémouret   Gisèle,De Temmerman   Jennifer,1,1
Biémouret   Gisèle,Thill   Agnès,1,1
Biémouret   Gisèle,Bureau-Bonnard   Carole,1,1
Biémouret   Gisèle,Duvergé   Bruno,1,1
Biémouret   Gisèle,Testé   Stéphane,1,1
Biémouret   Gisèle,Lazaar   Fiona,1,1
Biémouret   Gisèle,Genetet   Anne,1,1
Biémouret   Gisèle,Sanquer   Nicole,1,1
Biémouret   Gisèle,Coquerel   Éric,0,1
Biémouret   Gisèle,Rubin   Sabine,0,1
Biémouret   Gisèle,Gaillot   Albane,1,1
Biémouret   Gisèle,Brocard   Blandine,1,1
Biémouret   Gisèle,Person   Pierre,1,1
Biémouret   Gisèle,Peyron   Michèle,1,1
Biémouret   Gisèle,Do   Stéphanie,1,1
Biémouret   Gisèle,Michel-Kleisbauer   Philippe,1,1
Biémouret   Gisèle,Matras   Fabien,1,1
Biémouret   Gisèle,Buchou   Stéphane,1,1
Biémouret   Gisèle,Granjus   Florence,1,1
Biémouret   Gisèle,Vidal   Annie,1,1
Biémouret   Gisèle,Fiévet   Jean-Marie,1,1
Biémouret   Gisèle,Jumel   Sébastien,1,1
Biémouret   Gisèle,Rixain   Marie-Pierre,1,1
Biémouret   Gisèle,Wonner   Martine,1,1
Biémouret   Gisèle,Dirx   Benjamin,1,1
Alauzet   Éric,Aviragnet   Joël,1,1
Alauzet   Éric,Maillard   Sylvain,1,1
Alauzet   Éric,Bagarry   Delphine,1,1
Alauzet   Éric,Robert   Mireille,1,1
Alauzet   Éric,Roussel   Cédric,1,1
Alauzet   Éric,Pitollat   Claire,1,1
Alauzet   Éric,Dharréville   Pierre,1,1
Alauzet   Éric,Laqhila   Mohamed,1,1
Alauzet   Éric,Mesnier   Thomas,1,1
Alauzet   Éric,Ménard   Emmanuelle,1,1
Alauzet   Éric,Hammerer   Véronique,1,1
Alauzet   Éric,Dubos   Christelle,1,1
Alauzet   Éric,Dubost   Coralie,1,1
Alauzet   Éric,David   Dominique,1,1
Alauzet   Éric,Colas-Roy   Jean-Charles,1,1
Alauzet   Éric,Cloarec-Le Nabour   Christine,1,1
Alauzet   Éric,Labaronne   Daniel,1,1
Alauzet   Éric,Démoulin   Nicolas,1,1
Alauzet   Éric,Vallaud   Boris,1,1
Alauzet   Éric,Faure-Muntian   Valéria,1,1
Alauzet   Éric,Dufeu   Audrey,1,1
Alauzet   Éric,Janvier   Caroline,1,1
Alauzet   Éric,Damaisin   Olivier,1,1
Alauzet   Éric,Fiat   Caroline,0,1
Alauzet   Éric,Hammouche   Brahim,1,1
Alauzet   Éric,Quatennens   Adrien,0,1
Alauzet   Éric,Parmentier-Lecocq   Charlotte,1,1
Alauzet   Éric,De Temmerman   Jennifer,1,1
Alauzet   Éric,Thill   Agnès,1,1
Alauzet   Éric,Bureau-Bonnard   Carole,1,1
Alauzet   Éric,Duvergé   Bruno,1,1
Alauzet   Éric,Testé   Stéphane,1,1
Alauzet   Éric,Lazaar   Fiona,1,1
Alauzet   Éric,Genetet   Anne,1,1
Alauzet   Éric,Sanquer   Nicole,1,1
Alauzet   Éric,Coquerel   Éric,0,1
Alauzet   Éric,Rubin   Sabine,0,1
Alauzet   Éric,Gaillot   Albane,1,1
Alauzet   Éric,Brocard   Blandine,1,1
Alauzet   Éric,Person   Pierre,1,1
Alauzet   Éric,Peyron   Michèle,1,1
Alauzet   Éric,Do   Stéphanie,1,1
Alauzet   Éric,Michel-Kleisbauer   Philippe,1,1
Alauzet   Éric,Matras   Fabien,1,1
Alauzet   Éric,Buchou   Stéphane,1,1
Alauzet   Éric,Granjus   Florence,1,1
Alauzet   Éric,Vidal   Annie,1,1
Alauzet   Éric,Fiévet   Jean-Marie,1,1
Alauzet   Éric,Jumel   Sébastien,1,1
Alauzet   Éric,Rixain   Marie-Pierre,1,1
Alauzet   Éric,Wonner   Martine,1,1
Alauzet   Éric,Dirx   Benjamin,1,1
Aviragnet   Joël,Maillard   Sylvain,1,1
Aviragnet   Joël,Bagarry   Delphine,1,1
Aviragnet   Joël,Robert   Mireille,1,1
Aviragnet   Joël,Roussel   Cédric,1,1
Aviragnet   Joël,Pitollat   Claire,1,1
Aviragnet   Joël,Dharréville   Pierre,1,1
Aviragnet   Joël,Laqhila   Mohamed,1,1
Aviragnet   Joël,Mesnier   Thomas,1,1
Aviragnet   Joël,Ménard   Emmanuelle,1,1
Aviragnet   Joël,Hammerer   Véronique,1,1
Aviragnet   Joël,Dubos   Christelle,1,1
Aviragnet   Joël,Dubost   Coralie,1,1
Aviragnet   Joël,David   Dominique,1,1
Aviragnet   Joël,Colas-Roy   Jean-Charles,1,1
Aviragnet   Joël,Cloarec-Le Nabour   Christine,1,1
Aviragnet   Joël,Labaronne   Daniel,1,1
Aviragnet   Joël,Démoulin   Nicolas,1,1
Aviragnet   Joël,Vallaud   Boris,1,1
Aviragnet   Joël,Faure-Muntian   Valéria,1,1
Aviragnet   Joël,Dufeu   Audrey,1,1
Aviragnet   Joël,Janvier   Caroline,1,1
Aviragnet   Joël,Damaisin   Olivier,1,1
Aviragnet   Joël,Fiat   Caroline,0,1
Aviragnet   Joël,Hammouche   Brahim,1,1
Aviragnet   Joël,Quatennens   Adrien,0,1
Aviragnet   Joël,Parmentier-Lecocq   Charlotte,1,1
Aviragnet   Joël,De Temmerman   Jennifer,1,1
Aviragnet   Joël,Thill   Agnès,1,1
Aviragnet   Joël,Bureau-Bonnard   Carole,1,1
Aviragnet   Joël,Duvergé   Bruno,1,1
Aviragnet   Joël,Testé   Stéphane,1,1
Aviragnet   Joël,Lazaar   Fiona,1,1
Aviragnet   Joël,Genetet   Anne,1,1
Aviragnet   Joël,Sanquer   Nicole,1,1
Aviragnet   Joël,Coquerel   Éric,0,1
Aviragnet   Joël,Rubin   Sabine,0,1
Aviragnet   Joël,Gaillot   Albane,1,1
Aviragnet   Joël,Brocard   Blandine,1,1
Aviragnet   Joël,Person   Pierre,1,1
Aviragnet   Joël,Peyron   Michèle,1,1
Aviragnet   Joël,Do   Stéphanie,1,1
