from,to,vote_commun,loi_commun
Perrut   Bernard,Favennec-Bécot   Yannick,1,1
Perrut   Bernard,Grelier   Jean-Carles,1,1
Perrut   Bernard,Levy   Geneviève,1,1
Perrut   Bernard,Touraine   Jean-Louis,1,1
Perrut   Bernard,Lecoq   Jean-Paul,0,1
Perrut   Bernard,Brindeau   Pascal,1,1
Perrut   Bernard,Biémouret   Gisèle,0,1
Perrut   Bernard,Molac   Paul,0,1
Perrut   Bernard,Christophe   Paul,1,1
Perrut   Bernard,Delatte   Marc,1,1
Perrut   Bernard,Peyrol   Bénédicte,1,1
Perrut   Bernard,Bagarry   Delphine,1,1
Perrut   Bernard,Pitollat   Claire,1,1
Perrut   Bernard,Dharréville   Pierre,0,1
Perrut   Bernard,Bouyx   Bertrand,1,1
Perrut   Bernard,Mesnier   Thomas,1,1
Perrut   Bernard,Ardouin   Jean-Philippe,1,1
Perrut   Bernard,Cormier-Bouligeon   François,1,1
Perrut   Bernard,Martin   Didier,1,1
Perrut   Bernard,Colombani   Paul-André,0,1
Perrut   Bernard,Tamarelle-Verhaeghe   Marie,1,1
Perrut   Bernard,Cellier   Anthony,1,1
Perrut   Bernard,Ménard   Emmanuelle,1,1
Perrut   Bernard,Cloarec-Le Nabour   Christine,1,1
Perrut   Bernard,Borowczyk   Julien,1,1
Perrut   Bernard,Dufeu   Audrey,1,1
Perrut   Bernard,Rist   Stéphanie,1,1
Perrut   Bernard,Kuric   Aina,1,1
Perrut   Bernard,Fiat   Caroline,0,1
Perrut   Bernard,Hammouche   Brahim,1,1
Perrut   Bernard,Belhaddad   Belkhir,1,1
Perrut   Bernard,Bernalicis   Ugo,0,1
Perrut   Bernard,Potterie   Benoit,1,1
Perrut   Bernard,Deprez-Audebert   Marguerite,1,1
Perrut   Bernard,Dumont   Pierre-Henri,1,1
Perrut   Bernard,Michels   Thierry,1,1
Perrut   Bernard,Da Silva   Dominique,1,1
Perrut   Bernard,Benin   Justine,1,1
Perrut   Bernard,Gaillot   Albane,1,1
Perrut   Bernard,Gouffier-Cha   Guillaume,1,1
Perrut   Bernard,Le Gendre   Gilles,1,1
Perrut   Bernard,Fauvergue   Jean-Michel,1,1
Perrut   Bernard,Peyron   Michèle,1,1
Perrut   Bernard,Mauborgne   Sereine,1,1
Perrut   Bernard,de Vaucouleurs   Michèle,1,1
Perrut   Bernard,Marilossian   Jacques,1,1
Perrut   Bernard,Obono   Danièle,0,1
Perrut   Bernard,Romeiro Dias   Laëtitia,1,1
Perrut   Bernard,Vidal   Annie,1,1
