from,to,vote_commun,loi_commun
Reiss   Frédéric,Breton   Xavier,1,1
Reiss   Frédéric,Descoeur   Vincent,1,1
Reiss   Frédéric,Pancher   Bertrand,0,1
Reiss   Frédéric,Pinel   Sylvia,0,1
Reiss   Frédéric,Victory   Michèle,0,1
Reiss   Frédéric,Le Grip   Constance,1,1
Reiss   Frédéric,Pupponi   François,0,1
Reiss   Frédéric,Genevard   Annie,1,1
Reiss   Frédéric,Molac   Paul,0,1
Reiss   Frédéric,Hetzel   Patrick,1,1
Reiss   Frédéric,Tolmont   Sylvie,0,1
Reiss   Frédéric,Lang   Anne-Christine,0,1
Reiss   Frédéric,Buffet   Marie-George,0,1
Reiss   Frédéric,Maillard   Sylvain,0,1
Reiss   Frédéric,Roussel   Cédric,0,1
Reiss   Frédéric,Essayan   Nadia,0,1
Reiss   Frédéric,Gérard   Raphaël,0,1
Reiss   Frédéric,Castellani   Michel,0,1
Reiss   Frédéric,Acquaviva   Jean-Félix,0,1
Reiss   Frédéric,Dubois   Jacqueline,0,1
Reiss   Frédéric,Charvier   Fannette,0,1
Reiss   Frédéric,Kerlogot   Yannick,0,1
Reiss   Frédéric,Le Gac   Didier,0,1
Reiss   Frédéric,Ménard   Emmanuelle,1,1
Reiss   Frédéric,Mette   Sophie,0,1
Reiss   Frédéric,David   Dominique,0,1
Reiss   Frédéric,Chalumeau   Philippe,0,1
Reiss   Frédéric,Thillaye   Sabine,0,1
Reiss   Frédéric,Freschi   Alexandre,0,1
Reiss   Frédéric,Brunet   Anne-France,0,1
Reiss   Frédéric,Amadou   Aude,0,1
Reiss   Frédéric,Dubré-Chirat   Nicole,0,1
Reiss   Frédéric,Sorre   Bertrand,0,1
Reiss   Frédéric,Kuric   Aina,0,1
Reiss   Frédéric,Bannier   Géraldine,0,1
Reiss   Frédéric,Di Filippo   Fabien,1,1
Reiss   Frédéric,Trisse   Nicole,0,1
Reiss   Frédéric,Perrot   Patrice,0,1
Reiss   Frédéric,Osson   Catherine,0,1
Reiss   Frédéric,Thill   Agnès,0,1
Reiss   Frédéric,Vatin   Pierre,1,1
Reiss   Frédéric,Deprez-Audebert   Marguerite,0,1
Reiss   Frédéric,Minot   Maxime,1,1
Reiss   Frédéric,Descamps   Béatrice,0,1
Reiss   Frédéric,Studer   Bruno,0,1
Reiss   Frédéric,Testé   Stéphane,0,1
Reiss   Frédéric,Rilhac   Cécile,0,1
Reiss   Frédéric,Manin   Josette,0,1
Reiss   Frédéric,Sanquer   Nicole,0,1
Reiss   Frédéric,Dumas   Frédérique,0,1
Reiss   Frédéric,Corbière   Alexis,0,1
Reiss   Frédéric,Charrière   Sylvie,0,1
Reiss   Frédéric,Petit   Maud,0,1
Reiss   Frédéric,Gouffier-Cha   Guillaume,0,1
Reiss   Frédéric,Brugnera   Anne,0,1
Reiss   Frédéric,Kuster   Brigitte,1,1
Reiss   Frédéric,Rossi   Laurianne,0,1
Reiss   Frédéric,Muschotti   Cécile,0,1
Reiss   Frédéric,Fauvergue   Jean-Michel,0,1
Reiss   Frédéric,Calvez   Céline,0,1
Reiss   Frédéric,Piron   Béatrice,0,1
Reiss   Frédéric,Raphan   Pierre-Alain,0,1
Reiss   Frédéric,Faucillon   Elsa,0,1
Reiss   Frédéric,de Vaucouleurs   Michèle,0,1
Reiss   Frédéric,Romeiro Dias   Laëtitia,0,1
Reiss   Frédéric,Granjus   Florence,0,1
Reiss   Frédéric,Henriet   Pierre,0,1
Reiss   Frédéric,Sylla   Sira,0,1
Reiss   Frédéric,Fiévet   Jean-Marie,0,1
Reiss   Frédéric,Provendier   Florence,0,1
Reiss   Frédéric,Thiébaut   Vincent,0,1
Reiss   Frédéric,Dirx   Benjamin,0,1
Reiss   Frédéric,Ali   Ramlati,0,1
Reiss   Frédéric,Chouat   Francis,0,1
Breton   Xavier,Descoeur   Vincent,1,1
Breton   Xavier,Pancher   Bertrand,0,1
Breton   Xavier,Pinel   Sylvia,0,1
Breton   Xavier,Victory   Michèle,0,1
Breton   Xavier,Le Grip   Constance,1,1
Breton   Xavier,Pupponi   François,0,1
Breton   Xavier,Genevard   Annie,1,1
Breton   Xavier,Molac   Paul,0,1
Breton   Xavier,Hetzel   Patrick,1,1
Breton   Xavier,Tolmont   Sylvie,0,1
Breton   Xavier,Lang   Anne-Christine,0,1
Breton   Xavier,Buffet   Marie-George,0,1
Breton   Xavier,Maillard   Sylvain,0,1
Breton   Xavier,Roussel   Cédric,0,1
Breton   Xavier,Essayan   Nadia,0,1
Breton   Xavier,Gérard   Raphaël,0,1
Breton   Xavier,Castellani   Michel,0,1
Breton   Xavier,Acquaviva   Jean-Félix,0,1
Breton   Xavier,Dubois   Jacqueline,0,1
Breton   Xavier,Charvier   Fannette,0,1
Breton   Xavier,Kerlogot   Yannick,0,1
Breton   Xavier,Le Gac   Didier,0,1
Breton   Xavier,Ménard   Emmanuelle,1,1
Breton   Xavier,Mette   Sophie,0,1
Breton   Xavier,David   Dominique,0,1
Breton   Xavier,Chalumeau   Philippe,0,1
Breton   Xavier,Thillaye   Sabine,0,1
Breton   Xavier,Freschi   Alexandre,0,1
Breton   Xavier,Brunet   Anne-France,0,1
Breton   Xavier,Amadou   Aude,0,1
Breton   Xavier,Dubré-Chirat   Nicole,0,1
Breton   Xavier,Sorre   Bertrand,0,1
Breton   Xavier,Kuric   Aina,0,1
Breton   Xavier,Bannier   Géraldine,0,1
Breton   Xavier,Di Filippo   Fabien,1,1
Breton   Xavier,Trisse   Nicole,0,1
Breton   Xavier,Perrot   Patrice,0,1
Breton   Xavier,Osson   Catherine,0,1
Breton   Xavier,Thill   Agnès,0,1
Breton   Xavier,Vatin   Pierre,1,1
Breton   Xavier,Deprez-Audebert   Marguerite,0,1
Breton   Xavier,Minot   Maxime,1,1
Breton   Xavier,Descamps   Béatrice,0,1
Breton   Xavier,Studer   Bruno,0,1
Breton   Xavier,Testé   Stéphane,0,1
Breton   Xavier,Rilhac   Cécile,0,1
Breton   Xavier,Manin   Josette,0,1
Breton   Xavier,Sanquer   Nicole,0,1
Breton   Xavier,Dumas   Frédérique,0,1
Breton   Xavier,Corbière   Alexis,0,1
Breton   Xavier,Charrière   Sylvie,0,1
Breton   Xavier,Petit   Maud,0,1
Breton   Xavier,Gouffier-Cha   Guillaume,0,1
Breton   Xavier,Brugnera   Anne,0,1
Breton   Xavier,Kuster   Brigitte,1,1
Breton   Xavier,Rossi   Laurianne,0,1
Breton   Xavier,Muschotti   Cécile,0,1
Breton   Xavier,Fauvergue   Jean-Michel,0,1
Breton   Xavier,Calvez   Céline,0,1
Breton   Xavier,Piron   Béatrice,0,1
Breton   Xavier,Raphan   Pierre-Alain,0,1
Breton   Xavier,Faucillon   Elsa,0,1
Breton   Xavier,de Vaucouleurs   Michèle,0,1
Breton   Xavier,Romeiro Dias   Laëtitia,0,1
Breton   Xavier,Granjus   Florence,0,1
Breton   Xavier,Henriet   Pierre,0,1
Breton   Xavier,Sylla   Sira,0,1
Breton   Xavier,Fiévet   Jean-Marie,0,1
Breton   Xavier,Provendier   Florence,0,1
Breton   Xavier,Thiébaut   Vincent,0,1
Breton   Xavier,Dirx   Benjamin,0,1
Breton   Xavier,Ali   Ramlati,0,1
Breton   Xavier,Chouat   Francis,0,1
Descoeur   Vincent,Pancher   Bertrand,0,1
Descoeur   Vincent,Pinel   Sylvia,0,1
Descoeur   Vincent,Victory   Michèle,0,1
Descoeur   Vincent,Le Grip   Constance,1,1
Descoeur   Vincent,Pupponi   François,0,1
Descoeur   Vincent,Genevard   Annie,1,1
Descoeur   Vincent,Molac   Paul,0,1
Descoeur   Vincent,Hetzel   Patrick,1,1
Descoeur   Vincent,Tolmont   Sylvie,0,1
Descoeur   Vincent,Lang   Anne-Christine,0,1
