from,to,vote_commun,loi_commun
Forissier   Nicolas,Reiss   Frédéric,0,1
Forissier   Nicolas,Bony   Jean-Yves,1,1
Forissier   Nicolas,Descoeur   Vincent,1,1
Forissier   Nicolas,Vigier   Philippe,1,1
Forissier   Nicolas,Dalloz   Marie-Christine,0,1
Forissier   Nicolas,Battistel   Marie-Noëlle,1,1
Forissier   Nicolas,Errante   Sophie,1,1
Forissier   Nicolas,Potier   Dominique,1,1
Forissier   Nicolas,Louwagie   Véronique,1,1
Forissier   Nicolas,Dubié   Jeanine,1,1
Forissier   Nicolas,Bothorel   Éric,1,1
Forissier   Nicolas,Ferrara   Jean-Jacques,0,1
Forissier   Nicolas,Questel   Bruno,1,1
Forissier   Nicolas,Valentin   Isabelle,0,1
Forissier   Nicolas,Dupont   Stella,1,1
Forissier   Nicolas,Dufrègne   Jean-Paul,0,1
Forissier   Nicolas,Bagarry   Delphine,1,1
Forissier   Nicolas,Trastour-Isnart   Laurence,0,1
Forissier   Nicolas,Pauget   Éric,0,1
Forissier   Nicolas,Brun   Fabrice,0,1
Forissier   Nicolas,Larive   Michel,0,1
Forissier   Nicolas,Roussel   Cédric,1,1
Forissier   Nicolas,Dharréville   Pierre,0,1
Forissier   Nicolas,Petel   Anne-Laurence,1,1
Forissier   Nicolas,Zulesi   Jean-Marc,1,1
Forissier   Nicolas,Laqhila   Mohamed,1,1
Forissier   Nicolas,Jerretie   Christophe,1,1
Forissier   Nicolas,Michel-Brassart   Monica,1,1
Forissier   Nicolas,Dubois   Jacqueline,1,1
Forissier   Nicolas,Charvier   Fannette,1,1
Forissier   Nicolas,Khattabi   Fadila,1,1
Forissier   Nicolas,Kerlogot   Yannick,1,1
Forissier   Nicolas,Chassaing   Philippe,1,1
Forissier   Nicolas,Delpon   Michel,1,1
Forissier   Nicolas,de Lavergne   Célia,1,1
Forissier   Nicolas,Anthoine   Emmanuelle,0,1
Forissier   Nicolas,Melchior   Graziella,1,1
Forissier   Nicolas,Kasbarian   Guillaume,1,1
Forissier   Nicolas,Cellier   Anthony,1,1
Forissier   Nicolas,Berta   Philippe,1,1
Forissier   Nicolas,Ménard   Emmanuelle,0,1
Forissier   Nicolas,Mirallès   Patricia,1,1
Forissier   Nicolas,Colas-Roy   Jean-Charles,1,1
Forissier   Nicolas,Chalas   Émilie,1,1
Forissier   Nicolas,Motin   Cendra,1,1
Forissier   Nicolas,Brulebois   Danielle,1,1
Forissier   Nicolas,Vallaud   Boris,1,1
Forissier   Nicolas,Faure-Muntian   Valéria,1,1
Forissier   Nicolas,Borowczyk   Julien,1,1
Forissier   Nicolas,Haury   Yannick,1,1
Forissier   Nicolas,Pradié   Aurélien,1,1
Forissier   Nicolas,Oppelt   Valérie,1,1
Forissier   Nicolas,Dubré-Chirat   Nicole,1,1
Forissier   Nicolas,Bolo   Philippe,1,1
Forissier   Nicolas,Girardin   Éric,1,1
Forissier   Nicolas,Bannier   Géraldine,1,1
Forissier   Nicolas,Damaisin   Olivier,1,1
Forissier   Nicolas,Fiat   Caroline,0,1
Forissier   Nicolas,Di Filippo   Fabien,0,1
Forissier   Nicolas,Perrot   Patrice,1,1
Forissier   Nicolas,Quatennens   Adrien,0,1
Forissier   Nicolas,Thill   Agnès,1,1
Forissier   Nicolas,Nury   Jérôme,1,1
Forissier   Nicolas,Mattei   Jean-Paul,1,1
Forissier   Nicolas,Studer   Bruno,1,1
Forissier   Nicolas,Mbaye   Jean François,1,1
Forissier   Nicolas,Rilhac   Cécile,1,1
Forissier   Nicolas,Ratenon   Jean-Hugues,0,1
Forissier   Nicolas,Lescure   Roland,1,1
Forissier   Nicolas,Peu   Stéphane,0,1
Forissier   Nicolas,Anato   Patrice,1,1
Forissier   Nicolas,Ramadier   Alain,1,1
Forissier   Nicolas,Schellenberger   Raphaël,0,1
Forissier   Nicolas,Brocard   Blandine,1,1
Forissier   Nicolas,Bonnell   Bruno,1,1
Forissier   Nicolas,Degois   Typhanie,1,1
Forissier   Nicolas,Bonnivard   Émilie,0,1
Forissier   Nicolas,Riotton   Véronique,1,1
Forissier   Nicolas,Lardet   Frédérique,1,1
Forissier   Nicolas,Lenne   Marion,1,1
Forissier   Nicolas,Roseren   Xavier,1,1
Forissier   Nicolas,Le Gendre   Gilles,1,1
Forissier   Nicolas,Rupin   Pacôme,1,1
Forissier   Nicolas,Mauborgne   Sereine,1,1
Forissier   Nicolas,Florennes   Isabelle,1,1
Forissier   Nicolas,Gomez-Bassac   Valérie,1,1
Forissier   Nicolas,Crouzet   Michèle,1,1
Forissier   Nicolas,Boucard   Ian,1,1
Forissier   Nicolas,Lebec   Marie,1,1
Forissier   Nicolas,Pouzyreff   Natalia,1,1
Forissier   Nicolas,Hennion   Christine,1,1
Forissier   Nicolas,Wulfranc   Hubert,0,1
Forissier   Nicolas,Beaudouin-Hubiere   Sophie,1,1
Forissier   Nicolas,Leclabart   Jean-Claude,1,1
