from,to,vote_commun,loi_commun
David   Alain,de la Verpillière   Charles,0,1
David   Alain,Forissier   Nicolas,0,1
David   Alain,Jacob   Christian,0,1
David   Alain,Le Fur   Marc,0,1
David   Alain,Quentin   Didier,0,1
David   Alain,Reiss   Frédéric,0,1
David   Alain,Bony   Jean-Yves,0,1
David   Alain,Gosselin   Philippe,0,1
David   Alain,Rolland   Vincent,0,1
David   Alain,Herth   Antoine,0,1
David   Alain,Levy   Geneviève,0,1
David   Alain,Cinieri   Dino,0,1
David   Alain,Larrivé   Guillaume,0,1
David   Alain,Ciotti   Éric,0,1
David   Alain,Descoeur   Vincent,0,1
David   Alain,Benoit   Thierry,0,1
David   Alain,Lecoq   Jean-Paul,1,1
David   Alain,Bouchet   Jean-Claude,0,1
David   Alain,Saulignac   Hervé,0,1
David   Alain,Le Grip   Constance,0,1
David   Alain,Abad   Damien,0,1
David   Alain,Alauzet   Éric,1,1
David   Alain,Genevard   Annie,0,1
David   Alain,Dumas   Françoise,1,1
David   Alain,Vigier   Jean-Pierre,0,1
David   Alain,Molac   Paul,1,1
David   Alain,Louwagie   Véronique,0,1
David   Alain,Pires Beaune   Christine,0,1
David   Alain,Hetzel   Patrick,0,1
David   Alain,Tolmont   Sylvie,0,1
David   Alain,Duby-Muller   Virginie,0,1
David   Alain,Rabault   Valérie,0,1
David   Alain,Aviragnet   Joël,0,1
David   Alain,Bazin   Thibault,0,1
David   Alain,Christophe   Paul,0,1
David   Alain,Questel   Bruno,1,1
David   Alain,Valentin   Isabelle,0,1
David   Alain,Dupont   Stella,1,1
David   Alain,Lang   Anne-Christine,1,1
David   Alain,Ledoux   Vincent,0,1
David   Alain,Maillard   Sylvain,1,1
David   Alain,Dufrègne   Jean-Paul,1,1
David   Alain,Peyrol   Bénédicte,1,1
David   Alain,Valetta Ardisson   Alexandra,1,1
David   Alain,Robert   Mireille,1,1
David   Alain,Brun   Fabrice,0,1
David   Alain,Cordier   Pierre,0,1
David   Alain,Bazin-Malgras   Valérie,0,1
David   Alain,Dombreval   Loïc,1,1
David   Alain,Roussel   Cédric,1,1
David   Alain,Pitollat   Claire,1,1
David   Alain,Dharréville   Pierre,1,1
David   Alain,Petel   Anne-Laurence,1,1
David   Alain,Blanc   Anne,1,1
David   Alain,Blanchet   Christophe,1,1
David   Alain,Bouyx   Bertrand,1,1
David   Alain,Essayan   Nadia,1,1
David   Alain,Mesnier   Thomas,1,1
David   Alain,Marsaud   Sandra,1,1
David   Alain,Tuffnell   Frédérique,0,1
David   Alain,Gérard   Raphaël,1,1
David   Alain,Michel-Brassart   Monica,1,1
David   Alain,Martin   Didier,1,1
David   Alain,Charvier   Fannette,1,1
David   Alain,Khattabi   Fadila,1,1
David   Alain,Moreau   Jean-Baptiste,1,1
David   Alain,Anthoine   Emmanuelle,0,1
David   Alain,Gouttefarde   Fabien,1,1
David   Alain,Tamarelle-Verhaeghe   Marie,1,1
David   Alain,Kasbarian   Guillaume,1,1
David   Alain,Le Meur   Annaïg,1,1
David   Alain,Sommer   Denis,1,1
David   Alain,Chapelier   Annie,1,1
David   Alain,Mörch   Sandrine,1,1
David   Alain,Cazeneuve   Jean-René,1,1
David   Alain,Cabaré   Pierre,1,1
David   Alain,Vignon   Corinne,1,1
David   Alain,Nogal   Mickaël,1,1
David   Alain,Toutut-Picard   Élisabeth,1,1
David   Alain,Tanguy   Liliana,1,1
David   Alain,Fabre   Catherine,1,1
David   Alain,Simian   Benoit,0,1
David   Alain,Ménard   Emmanuelle,0,1
David   Alain,Mette   Sophie,1,1
David   Alain,David   Dominique,1,1
David   Alain,Colas-Roy   Jean-Charles,1,1
David   Alain,Cloarec-Le Nabour   Christine,1,1
David   Alain,Bachelier   Florian,1,1
David   Alain,Chalumeau   Philippe,1,1
David   Alain,Colboc   Fabienne,1,1
