from,to,vote_commun,loi_commun
Le Fur   Marc,Reiss   Frédéric,1,1
Le Fur   Marc,Saulignac   Hervé,0,1
Le Fur   Marc,Daniel   Yves,0,1
Le Fur   Marc,Potier   Dominique,0,1
Le Fur   Marc,Molac   Paul,1,1
Le Fur   Marc,Hetzel   Patrick,1,1
Le Fur   Marc,Bazin   Thibault,1,1
Le Fur   Marc,Zulesi   Jean-Marc,0,1
Le Fur   Marc,Laqhila   Mohamed,0,1
Le Fur   Marc,Tuffnell   Frédérique,0,1
Le Fur   Marc,Michel-Brassart   Monica,0,1
Le Fur   Marc,Kerlogot   Yannick,0,1
Le Fur   Marc,Moreau   Jean-Baptiste,0,1
Le Fur   Marc,de Lavergne   Célia,0,1
Le Fur   Marc,Melchior   Graziella,0,1
Le Fur   Marc,Portarrieu   Jean-François,0,1
Le Fur   Marc,Ménard   Emmanuelle,1,1
Le Fur   Marc,Labaronne   Daniel,0,1
Le Fur   Marc,Motin   Cendra,0,1
Le Fur   Marc,Brulebois   Danielle,0,1
Le Fur   Marc,Mis   Jean-Michel,0,1
Le Fur   Marc,Sarles   Nathalie,0,1
Le Fur   Marc,Kamowski   Catherine,0,1
Le Fur   Marc,Dufeu   Audrey,0,1
Le Fur   Marc,Haury   Yannick,0,1
Le Fur   Marc,Janvier   Caroline,0,1
Le Fur   Marc,Oppelt   Valérie,0,1
Le Fur   Marc,Masséglia   Denis,0,1
Le Fur   Marc,Dubré-Chirat   Nicole,0,1
Le Fur   Marc,Damaisin   Olivier,0,1
Le Fur   Marc,Fiat   Caroline,0,1
Le Fur   Marc,Arend   Christophe,0,1
Le Fur   Marc,Zannier   Hélène,0,1
Le Fur   Marc,Hammouche   Brahim,1,1
Le Fur   Marc,Le Peih   Nicole,0,1
Le Fur   Marc,Belhaddad   Belkhir,0,1
Le Fur   Marc,Mendes   Ludovic,0,1
Le Fur   Marc,Lioger   Richard,0,1
Le Fur   Marc,Parmentier-Lecocq   Charlotte,0,1
Le Fur   Marc,Osson   Catherine,0,1
Le Fur   Marc,Vatin   Pierre,1,1
Le Fur   Marc,Deprez-Audebert   Marguerite,0,1
Le Fur   Marc,Michels   Thierry,0,1
Le Fur   Marc,Waserman   Sylvain,0,1
Le Fur   Marc,Schellenberger   Raphaël,1,1
Le Fur   Marc,Lardet   Frédérique,0,1
Le Fur   Marc,Do   Stéphanie,0,1
Le Fur   Marc,Michel-Kleisbauer   Philippe,0,1
Le Fur   Marc,Calvez   Céline,0,1
Le Fur   Marc,Lebec   Marie,0,1
Le Fur   Marc,Braun-Pivet   Yaël,0,1
Le Fur   Marc,Lorho   Marie-France,1,1
Le Fur   Marc,Romeiro Dias   Laëtitia,0,1
Le Fur   Marc,Granjus   Florence,0,1
Le Fur   Marc,Fuchs   Bruno,1,1
Le Fur   Marc,Rebeyrotte   Rémy,0,1
Reiss   Frédéric,Saulignac   Hervé,0,1
Reiss   Frédéric,Daniel   Yves,0,1
Reiss   Frédéric,Potier   Dominique,0,1
Reiss   Frédéric,Molac   Paul,1,1
Reiss   Frédéric,Hetzel   Patrick,1,1
Reiss   Frédéric,Bazin   Thibault,1,1
Reiss   Frédéric,Zulesi   Jean-Marc,0,1
Reiss   Frédéric,Laqhila   Mohamed,0,1
Reiss   Frédéric,Tuffnell   Frédérique,0,1
Reiss   Frédéric,Michel-Brassart   Monica,0,1
Reiss   Frédéric,Kerlogot   Yannick,0,1
Reiss   Frédéric,Moreau   Jean-Baptiste,0,1
Reiss   Frédéric,de Lavergne   Célia,0,1
Reiss   Frédéric,Melchior   Graziella,0,1
Reiss   Frédéric,Portarrieu   Jean-François,0,1
Reiss   Frédéric,Ménard   Emmanuelle,1,1
Reiss   Frédéric,Labaronne   Daniel,0,1
Reiss   Frédéric,Motin   Cendra,0,1
Reiss   Frédéric,Brulebois   Danielle,0,1
Reiss   Frédéric,Mis   Jean-Michel,0,1
Reiss   Frédéric,Sarles   Nathalie,0,1
Reiss   Frédéric,Kamowski   Catherine,0,1
Reiss   Frédéric,Dufeu   Audrey,0,1
Reiss   Frédéric,Haury   Yannick,0,1
Reiss   Frédéric,Janvier   Caroline,0,1
Reiss   Frédéric,Oppelt   Valérie,0,1
Reiss   Frédéric,Masséglia   Denis,0,1
Reiss   Frédéric,Dubré-Chirat   Nicole,0,1
Reiss   Frédéric,Damaisin   Olivier,0,1
Reiss   Frédéric,Fiat   Caroline,0,1
Reiss   Frédéric,Arend   Christophe,0,1
Reiss   Frédéric,Zannier   Hélène,0,1
Reiss   Frédéric,Hammouche   Brahim,1,1
Reiss   Frédéric,Le Peih   Nicole,0,1
Reiss   Frédéric,Belhaddad   Belkhir,0,1
Reiss   Frédéric,Mendes   Ludovic,0,1
Reiss   Frédéric,Lioger   Richard,0,1
Reiss   Frédéric,Parmentier-Lecocq   Charlotte,0,1
Reiss   Frédéric,Osson   Catherine,0,1
Reiss   Frédéric,Vatin   Pierre,1,1
Reiss   Frédéric,Deprez-Audebert   Marguerite,0,1
Reiss   Frédéric,Michels   Thierry,0,1
Reiss   Frédéric,Waserman   Sylvain,0,1
Reiss   Frédéric,Schellenberger   Raphaël,1,1
Reiss   Frédéric,Lardet   Frédérique,0,1
Reiss   Frédéric,Do   Stéphanie,0,1
Reiss   Frédéric,Michel-Kleisbauer   Philippe,0,1
Reiss   Frédéric,Calvez   Céline,0,1
Reiss   Frédéric,Lebec   Marie,0,1
Reiss   Frédéric,Braun-Pivet   Yaël,0,1
Reiss   Frédéric,Lorho   Marie-France,1,1
Reiss   Frédéric,Romeiro Dias   Laëtitia,0,1
Reiss   Frédéric,Granjus   Florence,0,1
Reiss   Frédéric,Fuchs   Bruno,1,1
Reiss   Frédéric,Rebeyrotte   Rémy,0,1
Saulignac   Hervé,Daniel   Yves,0,1
Saulignac   Hervé,Potier   Dominique,1,1
Saulignac   Hervé,Molac   Paul,0,1
Saulignac   Hervé,Hetzel   Patrick,0,1
Saulignac   Hervé,Bazin   Thibault,0,1
Saulignac   Hervé,Zulesi   Jean-Marc,0,1
Saulignac   Hervé,Laqhila   Mohamed,0,1
Saulignac   Hervé,Tuffnell   Frédérique,0,1
Saulignac   Hervé,Michel-Brassart   Monica,0,1
Saulignac   Hervé,Kerlogot   Yannick,1,1
Saulignac   Hervé,Moreau   Jean-Baptiste,0,1
Saulignac   Hervé,de Lavergne   Célia,0,1
Saulignac   Hervé,Melchior   Graziella,0,1
Saulignac   Hervé,Portarrieu   Jean-François,0,1
Saulignac   Hervé,Ménard   Emmanuelle,0,1
Saulignac   Hervé,Labaronne   Daniel,0,1
Saulignac   Hervé,Motin   Cendra,0,1
Saulignac   Hervé,Brulebois   Danielle,0,1
Saulignac   Hervé,Mis   Jean-Michel,0,1
Saulignac   Hervé,Sarles   Nathalie,0,1
Saulignac   Hervé,Kamowski   Catherine,0,1
Saulignac   Hervé,Dufeu   Audrey,0,1
Saulignac   Hervé,Haury   Yannick,0,1
Saulignac   Hervé,Janvier   Caroline,0,1
Saulignac   Hervé,Oppelt   Valérie,0,1
Saulignac   Hervé,Masséglia   Denis,0,1
Saulignac   Hervé,Dubré-Chirat   Nicole,0,1
Saulignac   Hervé,Damaisin   Olivier,0,1
Saulignac   Hervé,Fiat   Caroline,1,1
Saulignac   Hervé,Arend   Christophe,0,1
Saulignac   Hervé,Zannier   Hélène,0,1
Saulignac   Hervé,Hammouche   Brahim,0,1
Saulignac   Hervé,Le Peih   Nicole,0,1
Saulignac   Hervé,Belhaddad   Belkhir,0,1
Saulignac   Hervé,Mendes   Ludovic,0,1
Saulignac   Hervé,Lioger   Richard,0,1
Saulignac   Hervé,Parmentier-Lecocq   Charlotte,0,1
Saulignac   Hervé,Osson   Catherine,0,1
Saulignac   Hervé,Vatin   Pierre,0,1
Saulignac   Hervé,Deprez-Audebert   Marguerite,0,1
Saulignac   Hervé,Michels   Thierry,0,1
Saulignac   Hervé,Waserman   Sylvain,0,1
Saulignac   Hervé,Schellenberger   Raphaël,0,1
Saulignac   Hervé,Lardet   Frédérique,0,1
Saulignac   Hervé,Do   Stéphanie,0,1
Saulignac   Hervé,Michel-Kleisbauer   Philippe,0,1
Saulignac   Hervé,Calvez   Céline,0,1
Saulignac   Hervé,Lebec   Marie,0,1
Saulignac   Hervé,Braun-Pivet   Yaël,0,1
Saulignac   Hervé,Lorho   Marie-France,0,1
Saulignac   Hervé,Romeiro Dias   Laëtitia,0,1
Saulignac   Hervé,Granjus   Florence,0,1
Saulignac   Hervé,Fuchs   Bruno,0,1
Saulignac   Hervé,Rebeyrotte   Rémy,0,1
Daniel   Yves,Potier   Dominique,0,1
Daniel   Yves,Molac   Paul,0,1
Daniel   Yves,Hetzel   Patrick,0,1
Daniel   Yves,Bazin   Thibault,0,1
Daniel   Yves,Zulesi   Jean-Marc,1,1
Daniel   Yves,Laqhila   Mohamed,1,1
Daniel   Yves,Tuffnell   Frédérique,1,1
Daniel   Yves,Michel-Brassart   Monica,1,1
Daniel   Yves,Kerlogot   Yannick,0,1
Daniel   Yves,Moreau   Jean-Baptiste,1,1
Daniel   Yves,de Lavergne   Célia,1,1
Daniel   Yves,Melchior   Graziella,1,1
Daniel   Yves,Portarrieu   Jean-François,1,1
Daniel   Yves,Ménard   Emmanuelle,0,1
Daniel   Yves,Labaronne   Daniel,1,1
Daniel   Yves,Motin   Cendra,1,1
Daniel   Yves,Brulebois   Danielle,1,1
Daniel   Yves,Mis   Jean-Michel,1,1
Daniel   Yves,Sarles   Nathalie,1,1
Daniel   Yves,Kamowski   Catherine,1,1
Daniel   Yves,Dufeu   Audrey,1,1
Daniel   Yves,Haury   Yannick,1,1
Daniel   Yves,Janvier   Caroline,1,1
Daniel   Yves,Oppelt   Valérie,1,1
Daniel   Yves,Masséglia   Denis,1,1
Daniel   Yves,Dubré-Chirat   Nicole,1,1
Daniel   Yves,Damaisin   Olivier,1,1
Daniel   Yves,Fiat   Caroline,0,1
Daniel   Yves,Arend   Christophe,1,1
Daniel   Yves,Zannier   Hélène,1,1
Daniel   Yves,Hammouche   Brahim,0,1
Daniel   Yves,Le Peih   Nicole,1,1
Daniel   Yves,Belhaddad   Belkhir,1,1
Daniel   Yves,Mendes   Ludovic,1,1
Daniel   Yves,Lioger   Richard,1,1
Daniel   Yves,Parmentier-Lecocq   Charlotte,1,1
Daniel   Yves,Osson   Catherine,1,1
Daniel   Yves,Vatin   Pierre,0,1
Daniel   Yves,Deprez-Audebert   Marguerite,1,1
Daniel   Yves,Michels   Thierry,1,1
Daniel   Yves,Waserman   Sylvain,1,1
Daniel   Yves,Schellenberger   Raphaël,0,1
Daniel   Yves,Lardet   Frédérique,1,1
Daniel   Yves,Do   Stéphanie,1,1
Daniel   Yves,Michel-Kleisbauer   Philippe,1,1
Daniel   Yves,Calvez   Céline,1,1
Daniel   Yves,Lebec   Marie,1,1
Daniel   Yves,Braun-Pivet   Yaël,1,1
Daniel   Yves,Lorho   Marie-France,0,1
Daniel   Yves,Romeiro Dias   Laëtitia,1,1
Daniel   Yves,Granjus   Florence,1,1
Daniel   Yves,Fuchs   Bruno,0,1
Daniel   Yves,Rebeyrotte   Rémy,1,1
Potier   Dominique,Molac   Paul,0,1
Potier   Dominique,Hetzel   Patrick,0,1
Potier   Dominique,Bazin   Thibault,0,1
Potier   Dominique,Zulesi   Jean-Marc,0,1
Potier   Dominique,Laqhila   Mohamed,0,1
Potier   Dominique,Tuffnell   Frédérique,0,1
Potier   Dominique,Michel-Brassart   Monica,0,1
Potier   Dominique,Kerlogot   Yannick,1,1
Potier   Dominique,Moreau   Jean-Baptiste,0,1
Potier   Dominique,de Lavergne   Célia,0,1
Potier   Dominique,Melchior   Graziella,0,1
Potier   Dominique,Portarrieu   Jean-François,0,1
Potier   Dominique,Ménard   Emmanuelle,0,1
Potier   Dominique,Labaronne   Daniel,0,1
Potier   Dominique,Motin   Cendra,0,1
Potier   Dominique,Brulebois   Danielle,0,1
Potier   Dominique,Mis   Jean-Michel,0,1
Potier   Dominique,Sarles   Nathalie,0,1
