from,to,vote_commun,loi_commun
Perrut   Bernard,Door   Jean-Pierre,1,1
Perrut   Bernard,Chassaigne   André,1,1
Perrut   Bernard,Grelier   Jean-Carles,1,1
Perrut   Bernard,Firmin Le Bodo   Agnès,1,1
Perrut   Bernard,Vigier   Philippe,1,1
Perrut   Bernard,Daniel   Yves,1,1
Perrut   Bernard,Dubié   Jeanine,1,1
Perrut   Bernard,Aviragnet   Joël,1,1
Perrut   Bernard,Christophe   Paul,1,1
Perrut   Bernard,Claireaux   Stéphane,1,1
Perrut   Bernard,Dive   Julien,1,1
Perrut   Bernard,Maillard   Sylvain,1,1
Perrut   Bernard,Delatte   Marc,1,1
Perrut   Bernard,Bagarry   Delphine,1,1
Perrut   Bernard,Larive   Michel,1,1
Perrut   Bernard,Pitollat   Claire,1,1
Perrut   Bernard,Dharréville   Pierre,1,1
Perrut   Bernard,Essayan   Nadia,1,1
Perrut   Bernard,Mesnier   Thomas,1,1
Perrut   Bernard,Michel-Brassart   Monica,1,1
Perrut   Bernard,Acquaviva   Jean-Félix,1,1
Perrut   Bernard,Martin   Didier,1,1
Perrut   Bernard,Dubois   Jacqueline,1,1
Perrut   Bernard,Khattabi   Fadila,1,1
Perrut   Bernard,Cubertafon   Jean-Pierre,1,1
Perrut   Bernard,Colombani   Paul-André,1,1
Perrut   Bernard,Tamarelle-Verhaeghe   Marie,1,1
Perrut   Bernard,Berta   Philippe,1,1
Perrut   Bernard,Vignon   Corinne,1,1
Perrut   Bernard,Ménard   Emmanuelle,1,1
Perrut   Bernard,Mirallès   Patricia,1,1
Perrut   Bernard,Colas-Roy   Jean-Charles,1,1
Perrut   Bernard,Chalumeau   Philippe,1,1
Perrut   Bernard,Limon   Monique,1,1
Perrut   Bernard,Borowczyk   Julien,1,1
Perrut   Bernard,Rist   Stéphanie,1,1
Perrut   Bernard,Sorre   Bertrand,1,1
Perrut   Bernard,Trisse   Nicole,1,1
Perrut   Bernard,Chenu   Sébastien,1,1
Perrut   Bernard,Bruneel   Alain,1,1
Perrut   Bernard,Michels   Thierry,1,1
Perrut   Bernard,Lazaar   Fiona,1,1
Perrut   Bernard,Da Silva   Dominique,1,1
Perrut   Bernard,Benin   Justine,1,1
Perrut   Bernard,Gaillot   Albane,1,1
Perrut   Bernard,Ramadier   Alain,1,1
Perrut   Bernard,Gouffier-Cha   Guillaume,1,1
Perrut   Bernard,Brugnera   Anne,1,1
Perrut   Bernard,Bonnivard   Émilie,1,1
Perrut   Bernard,Peyron   Michèle,1,1
Perrut   Bernard,Mauborgne   Sereine,1,1
Perrut   Bernard,Piron   Béatrice,1,1
Perrut   Bernard,de Vaucouleurs   Michèle,1,1
Perrut   Bernard,Vidal   Annie,1,1
Perrut   Bernard,Wonner   Martine,1,1
Perrut   Bernard,Bessot Ballot   Barbara,1,1
Perrut   Bernard,Isaac-Sibille   Cyrille,1,1
Door   Jean-Pierre,Chassaigne   André,1,1
Door   Jean-Pierre,Grelier   Jean-Carles,1,1
Door   Jean-Pierre,Firmin Le Bodo   Agnès,1,1
Door   Jean-Pierre,Vigier   Philippe,1,1
Door   Jean-Pierre,Daniel   Yves,1,1
Door   Jean-Pierre,Dubié   Jeanine,1,1
Door   Jean-Pierre,Aviragnet   Joël,1,1
Door   Jean-Pierre,Christophe   Paul,1,1
Door   Jean-Pierre,Claireaux   Stéphane,1,1
Door   Jean-Pierre,Dive   Julien,1,1
Door   Jean-Pierre,Maillard   Sylvain,1,1
Door   Jean-Pierre,Delatte   Marc,1,1
Door   Jean-Pierre,Bagarry   Delphine,1,1
Door   Jean-Pierre,Larive   Michel,1,1
Door   Jean-Pierre,Pitollat   Claire,1,1
Door   Jean-Pierre,Dharréville   Pierre,1,1
Door   Jean-Pierre,Essayan   Nadia,1,1
Door   Jean-Pierre,Mesnier   Thomas,1,1
Door   Jean-Pierre,Michel-Brassart   Monica,1,1
Door   Jean-Pierre,Acquaviva   Jean-Félix,1,1
Door   Jean-Pierre,Martin   Didier,1,1
Door   Jean-Pierre,Dubois   Jacqueline,1,1
Door   Jean-Pierre,Khattabi   Fadila,1,1
Door   Jean-Pierre,Cubertafon   Jean-Pierre,1,1
Door   Jean-Pierre,Colombani   Paul-André,1,1
Door   Jean-Pierre,Tamarelle-Verhaeghe   Marie,1,1
